公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-45.86,9394240,5.68,4811678,5085162,0.34,14429071,14479402
1102,亞泥,-,-59.95,7905737,-7.11,3408539,3165899,8.77,10178525,11071636
1103,嘉泥,-,-38.75,177060,-13.64,125590,108448,-4.09,297684,285508
1104,環泥,-,-43.56,479518,0.93,268120,270638,2.95,728601,750157
1108,幸福,-,-52.41,353189,-14.89,197481,168065,0.66,517821,521254
1109,信大,-,-77.58,668892,-18.02,182926,149960,24.37,658381,818852
1110,東泥,-,-55.48,186293,-14.74,97264,82927,7.44,250572,269220
1201,味全,-,-14.19,1583493,11.32,1220516,1358770,16.67,2521787,2942263
1203,味王,-,-18.55,544108,-1.97,452100,443171,3.95,949760,987278
1210,大成,-,-30.72,7176513,-9.37,5485976,4971488,0.07,12139389,12148001
1213,大飲,-,-37.05,63426,-5.86,42414,39925,-9.49,114193,103351
1215,卜蜂,-,-22.37,1885469,-0.95,1477686,1463626,3.18,3245606,3349095
1216,統一,-,-27.5,41144409,-1.4,30250749,29826477,3.73,68412717,70970886
1217,愛之味,-,-20.1,379511,4.45,290269,303197,2.81,664003,682708
1218,泰山,-,-33.76,706484,-10.71,524076,467918,-3.08,1211801,1174402
1219,福壽,-,-40.37,1199814,-11.53,808692,715431,5.39,1817218,1915246
1220,台榮,-,-45.16,261737,10.79,129527,143511,9.66,369538,405248
1225,福懋油,-,-34.3,964100,-19.71,788933,633413,-12.23,1820183,1597513
1227,佳格,-,-68.17,4362134,-30.48,1996808,1388035,-3.79,5976890,5750169
1229,聯華,-,-36.22,493179,-5.08,331407,314549,4.16,775448,807728
1231,聯華食,-,-37.27,913458,-1.77,583338,572959,6.94,1389858,1486417
1232,大統益,-,-32.0,1620137,-9.35,1215211,1101574,4.05,2615638,2721711
1233,天仁,-,-28.5,226345,-15.27,191007,161835,-0.2,388970,388180
1234,黑松,-,-38.14,989413,-19.07,756264,611984,-2.19,1637391,1601397
1235,興泰,-,-36.41,1752,-20.08,1394,1114,-17.95,3493,2866
1236,宏亞,-,-75.86,326947,-49.84,157336,78912,-5.22,428245,405860
1702,南僑,-,-42.75,1718531,-14.21,1146735,983725,-3.83,2810160,2702256
1737,臺鹽,-,-40.03,274611,-11.1,185241,164679,2.66,427893,439290
1301,台塑,-,-24.02,19500909,4.98,14112249,14815825,3.14,33269000,34316734
1303,南亞,-,-16.15,24994873,-12.67,23999666,20957969,-13.55,53160869,45952842
1304,台聚,-,-25.56,5004581,-4.26,3891148,3725362,-7.5,9437950,8729943
1305,華夏,-,-26.15,1193236,-26.03,1191222,881123,-24.36,2742423,2074359
1307,三芳,-,-23.98,910675,15.6,598839,692269,16.05,1381235,1602944
1308,亞聚,-,-23.05,620182,20.16,397145,477215,31.29,835824,1097396
1309,台達化,-,-28.39,1746564,5.09,1189933,1250603,-4.15,3127104,2997167
1310,台苯,-,-24.1,1117957,-35.37,1312915,848455,-26.39,2671630,1966412
1312,國喬,-,-23.64,1904635,-22.11,1867306,1454364,-20.36,4217818,3359000
1313,聯成,-,-45.64,5939881,24.44,2594276,3228374,14.24,8042090,9187954
1314,中石化,-,5.26,2567786,-7.53,2923021,2702854,-15.18,6214130,5270640
1315,達新,-,-31.81,192157,-21.17,166222,131022,-13.51,373662,323179
1321,大洋,-,-42.8,435535,-19.64,310012,249105,-11.43,773058,684678
1323,永裕,-,-23.31,307775,0.51,234815,236013,4.46,520563,543788
1324,地球,-,-16.26,99191,24.96,66470,83062,18.13,154278,182253
1325,恆大,-,-43.91,81517,-30.46,65751,45720,-13.36,146871,127237
