"stoc","date","max","min","ope","clo","vol"
1101,2026-04-20,25.1,24.7,25.05,24.8,15847
1102,2026-04-20,35.85,34.95,35.7,34.95,17160
1103,2026-04-20,14.05,13.8,14.05,13.85,289
1104,2026-04-20,29.45,29.1,29.4,29.15,771
1108,2026-04-20,14.9,14.75,14.9,14.75,330
1109,2026-04-20,15.5,15.35,15.4,15.45,242
1110,2026-04-20,15.9,15.5,15.85,15.5,155
1201,2026-04-20,13.4,13.1,13.4,13.15,810
1203,2026-04-20,43.7,43.3,43.7,43.7,31
1210,2026-04-20,55,53.6,54.2,55,3627
1213,2026-04-20,9.26,8.96,8.96,9.26,25
1215,2026-04-20,144.5,141.5,142,142.5,1116
1216,2026-04-20,73.7,72.5,73.5,72.6,12620
1217,2026-04-20,10.4,10.3,10.4,10.4,482
1218,2026-04-20,19.05,18.8,19.05,18.95,1143
1219,2026-04-20,14.3,14.05,14.3,14.1,434
1220,2026-04-20,12.8,12.5,12.75,12.55,219
1225,2026-04-20,34.35,33.5,33.85,33.95,540
1227,2026-04-20,30.6,30.1,30.45,30.15,1411
1229,2026-04-20,44.4,43.7,44.4,43.75,4088
1231,2026-04-20,91.3,89,90.3,89.1,487
1232,2026-04-20,152.5,149.5,150,151,121
1233,2026-04-20,29.25,28.9,29.25,29,24
1234,2026-04-20,36.4,36,36.4,36.2,108
1235,2026-04-20,46.7,44.25,45.2,46.3,36
1236,2026-04-20,26.95,26.35,26.75,26.85,77
1256,2026-04-20,162,155.5,156,162,125
1301,2026-04-20,54.5,51.9,54,52.6,22109
1303,2026-04-20,89.3,84.4,87.9,85.7,70123
1304,2026-04-20,15.15,14.7,14.75,14.75,12232
1305,2026-04-20,15.3,14.55,15.15,14.75,7492
1307,2026-04-20,32.1,31.5,32.1,31.5,572
1308,2026-04-20,15.8,15.4,15.4,15.45,4434
1309,2026-04-20,19.9,19.05,19.5,19.1,12302
1310,2026-04-20,10.15,9.76,10.05,9.8,7559
1312,2026-04-20,14.2,13.25,14.2,13.3,15036
1313,2026-04-20,12.35,11.8,12.1,11.95,6317
1314,2026-04-20,7.92,7.74,7.88,7.75,21429
1315,2026-04-20,65.7,64.9,65,65.7,41
1316,2026-04-20,12.1,11.85,12.1,11.9,2188
1319,2026-04-20,79.5,78,79.2,78,2208
1321,2026-04-20,33.15,32.45,32.85,32.6,220
1323,2026-04-20,20.95,20.8,20.95,20.9,100
1324,2026-04-20,11.75,11.2,11.25,11.4,220
1325,2026-04-20,27.2,26.85,27.1,26.9,149
1326,2026-04-20,51.9,49.95,51.5,50.5,20198
1337,2026-04-20,5.6,5.4,5.59,5.41,781
1338,2026-04-20,16.2,15.8,16.1,16,103
1339,2026-04-20,41.45,40.7,41,41.25,70
1340,2026-04-20,6.46,6.32,6.42,6.34,220
1341,2026-04-20,61,60.8,61,60.9,12
1342,2026-04-20,93.5,91.7,91.9,92.8,408
1402,2026-04-20,26.4,26.15,26.4,26.15,13591
1409,2026-04-20,17,16.6,16.95,16.6,5341
1410,2026-04-20,33,30.55,30.75,31.6,200
1413,2026-04-20,9.79,9.71,9.71,9.77,30
1414,2026-04-20,16.6,16.2,16.6,16.4,341
1416,2026-04-20,11.7,11.55,11.7,11.65,85
1417,2026-04-20,9.04,8.96,9,8.99,118
1418,2026-04-20,18.9,18.3,18.85,18.35,36
1419,2026-04-20,65.4,63.8,63.8,64.3,163
1423,2026-04-20,41,40.55,40.6,41,46
1432,2026-04-20,17,16.7,16.95,16.75,747
1434,2026-04-20,16.9,16.5,16.8,16.6,1675
1435,2026-04-20,14.25,14.25,14.25,14.25,1
1436,2026-04-20,53.1,51.6,52.8,51.6,338
