,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
0,20240613,1101,台泥,30.14,2.99,1.08
1,20240613,1102,亞泥,13.26,5.04,0.87
2,20240613,1103,嘉泥,606.67,2.75,0.57
3,20240613,1104,環泥,10.87,5.95,0.99
4,20240613,1108,幸福,13.02,5.95,1.42
5,20240613,1109,信大,9.97,6.2,0.8
6,20240613,1110,東泥,87.6,0.91,1.38
7,20240613,1201,味全,34.81,1.44,1.29
8,20240613,1203,味王,23.25,2.24,1.97
9,20240613,1210,大成,11.57,3.87,2.09
10,20240613,1215,卜蜂,14.43,5.07,3.21
11,20240613,1216,統一,24.37,3.71,3.43
12,20240613,1217,愛之味,28.14,1.9,0.85
13,20240613,1219,福壽,20.89,4.26,1.36
14,20240613,1220,台榮,13.99,1.31,1.13
15,20240613,1225,福懋油,56.56,1.52,5.9
16,20240613,1227,佳格,26.27,3.01,2.08
17,20240613,1229,聯華,25.34,3.14,2.2
18,20240613,1231,聯華食,24.88,2.51,4.22
19,20240613,1232,大統益,20.27,4.57,4.07
20,20240613,1233,天仁,31.53,2.64,2.24
21,20240613,1234,黑松,18.66,4.39,0.96
22,20240613,1235,興泰,34.6,1.1,1.45
23,20240613,1236,宏亞,100.42,2.7,0.91
24,20240613,1256,鮮活果汁-KY,16.12,3.3,1.74
25,20240613,1301,台塑,73.9,1.65,1.14
26,20240613,1303,南亞,59.64,1.4,1.09
27,20240613,1305,華夏,129.23,2.08,1.02
28,20240613,1307,三芳,12.22,4.82,1.37
29,20240613,1315,達新,19.22,6.95,0.67
30,20240613,1319,東陽,19.01,3.36,2.63
31,20240613,1321,大洋,46.98,1.05,1.36
32,20240613,1323,永裕,33.94,3.27,1.14
33,20240613,1324,地球,29.66,1.53,1.02
34,20240613,1325,恆大,83.03,1.9,0.97
35,20240613,1326,台化,27.95,2.42,0.93
36,20240613,1339,昭輝,9.74,4.52,1.27
37,20240613,1341,富林-KY,15.68,6.32,3.15
38,20240613,1342,八貫,14.66,5.31,4.0
39,20240613,1402,遠東新,22.28,3.88,0.8
40,20240613,1409,新纖,24.12,3.35,0.74
41,20240613,1410,南染,105.0,0.79,2.23
42,20240613,1414,東和,79.81,1.16,1.51
43,20240613,1416,廣豐,19.03,3.92,0.63
44,20240613,1419,新紡,22.26,2.48,1.05
45,20240613,1423,利華,93.02,1.5,1.35
46,20240613,1434,福懋,70.16,2.23,0.75
47,20240613,1436,華友聯,15.72,4.79,4.59
48,20240613,1437,勤益控,12.54,2.99,1.0
49,20240613,1439,雋揚,13.81,1.08,0.97
50,20240613,1440,南紡,11.81,1.99,1.01
51,20240613,1442,名軒,10.87,5.63,2.95
52,20240613,1444,力麗,121.63,4.11,0.89
53,20240613,1445,大宇,3.04,10.82,1.13
54,20240613,1446,宏和,18.28,1.27,4.19
55,20240613,1449,佳和,19.57,0.22,0.94
56,20240613,1452,宏益,37.17,1.75,0.83
57,20240613,1453,大將,38.33,1.09,2.03
58,20240613,1454,台富,49.26,1.49,1.29
59,20240613,1456,怡華,92.27,0.99,1.29
60,20240613,1457,宜進,8.95,6.79,0.94
61,20240613,1463,強盛,37.13,2.49,1.43
62,20240613,1464,得力,97.67,1.71,1.15
63,20240613,1465,偉全,16.61,3.34,0.95
64,20240613,1470,大統新創,37.74,2.9,1.77
65,20240613,1472,三洋實業,16.69,2.81,2.05
66,20240613,1473,台南,16.31,2.41,1.81
67,20240613,1474,弘裕,31.93,2.85,0.87
68,20240613,1475,業旺,13.04,3.09,3.1
69,20240613,1476,儒鴻,25.56,2.51,6.25
70,20240613,1477,聚陽,22.52,4.23,7.12
71,20240613,1503,士電,46.67,1.22,3.22
72,20240613,1504,東元,22.56,3.84,1.63
73,20240613,1513,中興電,49.72,1.99,4.81
74,20240613,1514,亞力,37.13,1.45,5.79
75,20240613,1515,力山,13.09,2.65,2.14
76,20240613,1516,川飛,44.25,1.32,1.94
77,20240613,1519,華城,73.61,0.84,43.06
