,stocnumb,stocname,thismon,thisrev,mom,yoy
0,1101,台泥,202106,8480821,-13.74,-8.69
1,1101,台泥,202107,8319971,-1.89,-11.4
2,1101,台泥,202108,8964476,7.74,-2.62
3,1101,台泥,202109,9597804,7.06,6.22
4,1101,台泥,202110,9565047,-0.34,1.03
5,1101,台泥,202111,9752687,1.96,-1.53
6,1101,台泥,202112,10821264,10.95,7.07
7,1101,台泥,202201,7517896,-30.52,-7.0
8,1101,台泥,202202,5456068,-27.42,30.73
9,1101,台泥,202203,9971650,82.76,1.96
10,1101,台泥,202204,8319342,-16.57,-13.98
11,1101,台泥,202205,7733787,-7.03,-21.34
12,1101,台泥,202206,9145989,18.26,7.84
13,1101,台泥,202207,10102468,10.45,21.42
14,1101,台泥,202208,10689860,5.81,19.24
15,1101,台泥,202209,10404901,-2.66,8.4
16,1101,台泥,202210,11368096,9.25,18.85
17,1101,台泥,202211,9674576,-14.89,-0.8
18,1101,台泥,202212,12584154,30.07,16.29
19,1101,台泥,202301,7325221,-41.79,-2.56
20,1101,台泥,202302,7306069,-0.26,33.9
21,1101,台泥,202303,11730367,60.55,17.63
22,1101,台泥,202304,9100119,-22.42,9.38
23,1101,台泥,202305,9596091,5.45,24.08
24,1101,台泥,202306,8816109,-8.12,-3.6
25,1101,台泥,202307,8953462,1.55,-11.37
26,1101,台泥,202308,9379408,4.75,-12.25
27,1101,台泥,202309,8735157,-6.86,-16.04
28,1101,台泥,202310,9371746,7.28,-17.56
29,1101,台泥,202311,8786909,-6.24,-9.17
30,1101,台泥,202312,9514039,8.27,-24.39
31,1101,台泥,202402,4798581,-33.7,-34.32
32,1101,台泥,202403,13649152,184.44,16.35
33,1101,台泥,202404,11626493,-14.81,27.76
34,1101,台泥,202405,13860276,19.21,44.43
35,1102,亞泥,202106,6895504,-10.31,2.12
36,1102,亞泥,202107,6477630,-6.06,-4.72
37,1102,亞泥,202108,7193266,11.04,7.63
38,1102,亞泥,202109,7831470,8.87,7.92
39,1102,亞泥,202110,9454594,20.72,27.19
40,1102,亞泥,202111,8985672,-4.95,13.4
41,1102,亞泥,202112,9403723,4.65,13.01
42,1102,亞泥,202201,7420726,-21.08,-0.2
43,1102,亞泥,202202,4100676,-44.74,18.85
44,1102,亞泥,202203,8160414,99.0,16.46
45,1102,亞泥,202204,8710220,6.73,11.09
46,1102,亞泥,202205,8000427,-8.14,2.58
47,1102,亞泥,202206,7776413,-2.8,9.31
48,1102,亞泥,202207,7864622,1.13,15.34
49,1102,亞泥,202208,7069221,-10.11,-1.72
50,1102,亞泥,202209,6994078,-1.06,-10.69
51,1102,亞泥,202210,7601097,8.67,-19.6
52,1102,亞泥,202211,8306062,9.27,-7.56
53,1102,亞泥,202212,8340507,0.41,-11.3
54,1102,亞泥,202301,4814494,-42.27,-35.12
55,1102,亞泥,202302,6241236,29.63,52.2
56,1102,亞泥,202303,8152982,30.63,-0.09
57,1102,亞泥,202304,7168871,-12.07,-17.69
58,1102,亞泥,202305,7238507,0.97,-9.52
59,1102,亞泥,202306,6671130,-7.83,-14.21
60,1102,亞泥,202307,6790125,1.78,-13.66
61,1102,亞泥,202308,6469836,-4.71,-8.47
62,1102,亞泥,202309,6691905,3.43,-4.32
63,1102,亞泥,202310,6706168,0.21,-11.77
64,1102,亞泥,202311,6915817,3.12,-16.73
65,1102,亞泥,202312,6313936,-8.7,-24.29
66,1102,亞泥,202402,3599986,-44.53,-42.31
67,1102,亞泥,202403,6409280,78.03,-21.38
68,1102,亞泥,202404,5686606,-11.27,-20.67
69,1102,亞泥,202405,6459670,13.59,-10.75
70,1103,嘉泥,202106,168756,-14.07,1.19
71,1103,嘉泥,202107,192983,14.35,11.46
72,1103,嘉泥,202108,166022,-13.97,8.8
73,1103,嘉泥,202109,201306,21.25,23.12
74,1103,嘉泥,202110,193141,-4.05,16.6
75,1103,嘉泥,202111,197773,2.39,-5.33
76,1103,嘉泥,202112,171518,-13.27,-14.66
77,1103,嘉泥,202201,158052,-7.85,-19.14
78,1103,嘉泥,202202,134062,-15.17,-7.6
79,1103,嘉泥,202203,220463,64.44,8.09
80,1103,嘉泥,202204,168089,-23.75,-9.25
81,1103,嘉泥,202205,163521,-2.71,-16.74
82,1103,嘉泥,202206,183177,12.02,8.54
83,1103,嘉泥,202207,178825,-2.37,-7.33
84,1103,嘉泥,202208,182371,1.98,9.84
85,1103,嘉泥,202209,205264,12.55,1.96
86,1103,嘉泥,202210,209429,2.02,8.43
87,1103,嘉泥,202211,221763,5.88,12.13
88,1103,嘉泥,202212,228644,3.1,33.3
89,1103,嘉泥,202301,191217,-16.36,20.98
90,1103,嘉泥,202302,211050,10.37,57.42
91,1103,嘉泥,202304,220272,-11.58,31.04
92,1103,嘉泥,202306,277233,21.7,51.34
93,1103,嘉泥,202307,266631,-3.82,49.1
94,1103,嘉泥,202308,238917,-10.39,31.0
95,1103,嘉泥,202309,232979,-2.48,13.5
96,1103,嘉泥,202310,257343,10.45,22.87
97,1103,嘉泥,202311,255428,-0.74,15.18
98,1103,嘉泥,202312,283279,10.9,23.89
99,1103,嘉泥,202402,201295,-17.14,-4.62
100,1103,嘉泥,202403,254887,26.62,2.3
101,1103,嘉泥,202404,238141,-6.56,8.11
102,1103,嘉泥,202405,243833,2.39,7.03
103,1104,環泥,202106,407130,-23.73,-10.23
104,1104,環泥,202107,493738,21.27,3.5
105,1104,環泥,202108,431224,-12.66,17.5
106,1104,環泥,202109,528251,22.5,17.15
107,1104,環泥,202110,558944,5.81,12.71
108,1104,環泥,202111,592281,5.96,21.24
109,1104,環泥,202112,569625,-3.82,2.6
110,1104,環泥,202201,592322,3.98,15.8
111,1104,環泥,202202,348338,-41.19,-1.6
112,1104,環泥,202203,591593,69.83,2.88
113,1104,環泥,202204,638493,7.92,21.95
114,1104,環泥,202205,537082,-15.88,0.61
115,1104,環泥,202206,573028,6.69,40.74
116,1104,環泥,202207,580420,1.28,17.55
117,1104,環泥,202208,605512,4.32,40.41
118,1104,環泥,202209,597159,-1.37,13.04
119,1104,環泥,202210,634981,6.33,13.6
120,1104,環泥,202211,631827,-0.49,6.67
121,1104,環泥,202212,725055,14.75,27.28
122,1104,環泥,202301,504378,-30.43,-14.84
123,1104,環泥,202302,591525,17.27,69.81
124,1104,環泥,202303,739446,25.0,24.99
125,1104,環泥,202304,644087,-12.89,0.87
126,1104,環泥,202305,671021,4.18,24.93
127,1104,環泥,202306,604263,-9.94,5.45
128,1104,環泥,202307,637246,5.45,9.79
129,1104,環泥,202308,617197,-3.14,1.92
130,1104,環泥,202309,618592,0.22,3.58
131,1104,環泥,202310,654514,5.8,3.07
132,1104,環泥,202311,777614,18.8,23.07
133,1104,環泥,202312,742480,-4.51,2.4
