資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1121110,1240,茂生農經,72.9,1.2,2.65,1.41
1121110,1259,安心,13.81,2.6,3.43,1.01
1121110,1264,德麥,16.42,12.0,4.15,3.81
1121110,1268,漢來美食,16.27,3.0,2.08,2.95
1121110,1336,台翰,12.55,0.41,2.0,0.92
1121110,1565,精華,15.1,13.5,7.3,1.55
1121110,1570,力肯,14.74,1.0,4.95,1.16
1121110,1580,新麥,17.67,6.0,4.0,3.0
1121110,1584,精剛,26.0,0.7,2.07,1.92
1121110,1591,駿吉-KY,63.49,0.5,1.25,3.1
1121110,1593,祺驊,29.64,3.17998106,5.59,1.71
1121110,1595,川寶,13.54,2.0260002,5.32,0.69
1121110,1599,宏佳騰,28.98,1.5,4.21,1.32
1121110,1777,生泰,15.13,3.0,3.55,1.64
1121110,1784,訊聯,35.83,0.69649506,1.19,2.48
1121110,1785,光洋科,19.74,1.50061598,3.94,1.76
1121110,1788,杏昌,17.88,7.0,5.28,2.09
1121110,1796,金穎生技,25.1,1.5,1.93,3.67
1121110,2063,世鎧,11.56,3.0,5.46,2.66
1121110,2065,世豐,10.51,5.49786626,9.16,1.88
1121110,2066,世德,10.2,4.41897002,5.5,1.86
1121110,2070,精湛,18.17,1.5,5.03,1.24
1121110,2073,雄順,77.24,1.81803636,6.19,1.86
1121110,2221,大甲,8.49,4.0,11.61,1.57
1121110,2230,泰茂,99.19,1.41711497,1.15,7.52
1121110,2235,謚源,27.55,4.0,9.13,1.21
1121110,2640,大車隊,17.01,5.0,4.61,3.8
1121110,2641,正德,5.99,1.49661129,9.02,0.75
1121110,2643,捷迅,8.94,7.0,10.54,1.3
1121110,2718,晶悅,7.05,0.0,0.0,1.9
1121110,2729,瓦城,17.66,5.0,2.14,3.09
1121110,2732,六角,15.37,6.281411,5.58,2.79
1121110,2736,富野,282.5,0.2,0.71,1.2
1121110,2743,山富,35.14,0.0,0.0,7.27
1121110,2745,五福,15.15,0.0,0.0,4.85
1121110,2752,豆府,17.46,10.0,3.88,6.81
1121110,2754,亞洲藏壽司,18.87,1.49993578,1.23,3.62
1121110,2755,揚秦,30.2,5.3,4.45,4.97
1121110,2756,聯發國際,17.35,4.5,5.06,3.98
1121110,2916,滿心,10.66,3.0,6.4,2.47
1121110,2937,集雅社,10.21,1.28142996,4.31,1.31
1121110,2947,振宇五金,41.98,2.2,2.59,2.26
1121110,3066,李洲,16.29,0.0,0.0,1.27
1121110,3067,全域,102.36,0.0,0.0,2.93
1121110,3071,協禧,23.66,1.664,5.1,2.39
1121110,3073,天方能源,191.79,0.0,0.0,2.03
1121110,3078,僑威,17.47,2.35,2.77,3.32
1121110,3086,華義,70.1,1.2,1.63,5.31
1121110,3088,艾訊,11.15,3.47651446,4.12,2.1
1121110,3093,港建*,13.13,3.0,9.85,4.03
1121110,3114,好德,12.6,1.7,6.49,1.06
1121110,3118,進階,16.22,1.7,5.67,1.84
1121110,3128,昇銳,25.55,1.2,3.98,2.02
1121110,3131,弘塑,21.46,18.0,3.79,4.13
1121110,3141,晶宏,68.37,2.66762779,2.77,2.96
1121110,3147,大綜,11.2,4.5,6.02,2.4
1121110,3152,璟德,62.54,3.59,1.65,4.27
1121110,3163,波若威,14.9,4.2,4.88,2.67
1121110,3169,亞信,29.63,5.5,4.58,4.47
1121110,3171,新洲,8.42,1.0,5.45,1.14
1121110,3178,公準,16.68,2.5,3.05,2.97
1121110,3188,鑫龍騰,21.28,0.3,1.9,1.26
1121110,3206,志豐,9.77,2.2,4.76,1.89
1121110,3207,耀勝,15.8,1.32721833,2.01,2.95
1121110,3211,順達,16.55,6.04184,7.67,1.41
1121110,3213,茂訊,10.13,3.6,5.26,1.67
1121110,3217,優群,22.19,5.35,3.43,3.32
1121110,3218,大學光,24.37,6.6,2.22,8.8
