證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,3.0,112,35.43,1.08,2024Q2
1102,亞泥,4.5,112,14.76,0.93,2024Q2
1103,嘉泥,2.75,112,121.33,0.56,2024Q2
1104,環泥,6.5,112,10.12,0.92,2024Q2
1108,幸福,6.67,112,12.1,1.23,2024Q2
1109,信大,6.38,112,9.89,0.79,2024Q2
1110,東泥,0.91,112,91.46,1.38,2024Q2
1201,味全,1.48,112,27.31,1.23,2024Q2
1203,味王,2.18,112,22.65,2.08,2024Q2
1210,大成,4.25,112,11.42,1.89,2024Q2
1215,卜蜂,5.39,112,15.09,3.25,2024Q2
1216,統一,3.38,112,27.13,4.06,2024Q2
1217,愛之味,1.85,112,19.76,0.82,2024Q2
1219,福壽,4.64,112,20.29,1.28,2024Q2
1220,台榮,2.43,112,12.56,1.22,2024Q2
1225,福懋油,0.98,112,69.76,9.64,2024Q2
1227,佳格,3.18,112,22.98,2.06,2024Q2
1229,聯華,3.4,112,22.72,2.06,2024Q2
1231,聯華食,2.4,112,23.38,4.55,2024Q2
1232,大統益,4.43,112,18.24,4.72,2024Q2
1233,天仁,2.72,112,34.07,2.06,2024Q2
1234,黑松,4.49,112,17.34,0.93,2024Q2
1235,興泰,0.68,112,31.22,1.74,2024Q2
1236,宏亞,2.77,112,180.77,0.81,2024Q2
1256,鮮活果汁-KY,4.31,112,16.94,1.59,2024Q2
1301,台塑,1.87,112,63.69,1.0,2024Q2
1303,南亞,1.51,112,49.36,1.0,2024Q2
1305,華夏,1.98,112,59.0,1.09,2024Q2
1307,三芳,3.84,112,13.82,1.64,2024Q2
1315,達新,7.04,112,37.17,0.66,2024Q2
1319,東陽,3.79,112,15.68,2.46,2024Q2
1321,大洋,1.07,112,35.62,1.33,2024Q2
1323,永裕,3.68,112,28.04,1.0,2024Q2
1324,地球,1.49,112,39.41,1.05,2024Q2
1325,恆大,2.13,112,312.78,0.88,2024Q2
1326,台化,2.82,112,23.56,0.8,2024Q2
1339,昭輝,5.13,112,9.15,1.1,2024Q2
1341,富林-KY,6.45,112,14.99,2.79,2024Q2
1342,八貫,6.14,112,12.72,3.22,2024Q2
1402,遠東新,3.53,112,21.46,0.89,2024Q2
1409,新纖,3.35,112,20.0,0.72,2024Q2
1410,南染,0.81,112,99.73,2.17,2024Q2
1414,東和,1.11,112,83.7,1.57,2024Q2
1416,廣豐,3.82,112,13.94,0.62,2024Q2
1419,新紡,2.45,112,21.12,1.0,2024Q2
1423,利華,1.33,112,63.66,1.44,2024Q2
1434,福懋,2.4,112,109.47,0.72,2024Q2
1436,華友聯,4.69,112,9.1,3.67,2024Q2
1437,勤益控,3.08,112,10.65,0.93,2024Q2
1439,雋揚,0.96,112,19.9,1.06,2024Q2
1440,南紡,2.15,112,10.87,0.91,2024Q2
1442,名軒,5.17,112,8.56,3.39,2024Q2
1445,大宇,12.95,112,2.57,1.06,2024Q2
1446,宏和,1.55,112,8.81,3.1,2024Q2
1449,佳和,0.16,112,16.39,0.92,2024Q2
1452,宏益,1.76,112,21.79,0.79,2024Q2
1453,大將,1.63,112,25.63,1.35,2024Q2
1454,台富,1.37,112,70.0,1.4,2024Q2
1457,宜進,7.41,112,6.96,0.86,2024Q2
1463,強盛新,2.16,112,45.49,1.73,2024Q2
1464,得力,1.76,112,28.98,1.11,2024Q2
1465,偉全,3.28,112,20.33,0.95,2024Q2
1470,大統新創,2.62,112,31.64,1.92,2024Q2
1472,三洋實業,3.36,112,14.83,1.81,2024Q2
1473,台南,3.23,112,11.47,1.36,2024Q2
1475,業旺,3.19,112,10.63,2.97,2024Q2
1476,儒鴻,2.39,112,25.3,6.09,2024Q2
1477,聚陽,4.66,112,20.2,6.04,2024Q2
1503,士電,1.32,112,41.67,2.97,2024Q2
1504,東元,4.43,112,21.49,1.36,2024Q2
1513,中興電,2.05,112,25.77,4.86,2024Q2
1514,亞力,1.42,112,37.35,6.1,2024Q2
1515,力山,3.16,112,9.64,1.75,2024Q2
1516,川飛,1.59,112,23.43,1.58,2024Q2
1519,華城,1.06,112,51.89,28.81,2024Q2
1521,大億,1.78,112,41.47,1.68,2024Q2
1522,堤維西,3.12,112,12.05,2.24,2024Q2
1524,耿鼎,3.65,112,11.77,2.14,2024Q2
1525,江申,4.75,112,18.73,1.07,2024Q2
1527,鑽全,4.17,112,13.95,1.41,2024Q2
1529,樂事綠能,2.0,112,150.0,2.6,2024Q2
1530,亞崴,4.57,112,13.41,0.98,2024Q2
1531,高林股,1.36,112,29.4,0.73,2024Q2
1532,勤美,3.68,112,7.42,1.03,2024Q2
1535,中宇,5.32,112,14.29,2.2,2024Q2
1536,和大,1.74,112,99.14,1.86,2024Q2
1537,廣隆,4.61,112,15.65,2.97,2024Q2
1539,巨庭,1.94,112,18.67,1.26,2024Q2
1540,喬福,2.41,112,21.82,2.66,2024Q2
1541,錩泰,1.47,112,13.23,1.34,2024Q2
1558,伸興,3.25,112,20.71,1.46,2024Q2
1560,中砂,1.27,112,47.51,7.16,2024Q2
1563,巧新,2.88,112,20.66,1.56,2024Q2
1568,倉佑,4.61,112,10.02,1.65,2024Q2
1582,信錦,3.77,112,15.18,2.13,2024Q2
1583,程泰,6.43,112,10.1,1.27,2024Q2
1590,亞德客-KY,1.88,112,24.29,4.25,2024Q2
1597,直得,0.82,112,118.54,3.61,2024Q2
1603,華電,3.35,112,12.7,0.91,2024Q2
1604,聲寶,5.26,112,13.38,1.27,2024Q2
1605,華新,3.09,112,27.99,1.0,2024Q2
1608,華榮,2.93,112,16.63,1.91,2024Q2
1609,大亞,3.27,112,23.11,2.55,2024Q2
1611,中電,2.84,112,32.0,1.31,2024Q2
1612,宏泰,5.72,112,14.44,1.47,2024Q2
1614,三洋電,2.63,112,52.92,1.95,2024Q2
1615,大山,4.52,112,15.24,3.24,2024Q2
1616,億泰,1.75,112,24.65,2.19,2024Q2
1617,榮星,1.28,112,115.53,1.54,2024Q2
1618,合機,2.08,112,16.72,1.55,2024Q2
1702,南僑,4.52,112,10.57,1.36,2024Q2
1707,葡萄王,4.74,112,15.17,2.25,2024Q2
1708,東鹼,3.58,112,15.09,1.55,2024Q2
1709,和益,2.38,112,18.26,1.32,2024Q2
1711,永光,0.56,112,76.0,1.73,2024Q2
1712,興農,6.51,112,17.7,2.28,2024Q2
1713,國化,2.59,112,14.32,2.57,2024Q2
1714,和桐,3.34,112,16.31,0.72,2024Q2
1717,長興,2.29,112,21.74,1.56,2024Q2
1720,生達,4.19,112,13.49,1.98,2024Q2
1722,台肥,4.44,112,36.11,1.07,2024Q2
1723,中碳,3.92,112,18.92,3.05,2024Q2
1725,元禎,2.01,112,30.8,1.48,2024Q2
1726,永記,4.39,112,14.98,1.31,2024Q2
1727,中華化,0.71,112,203.0,2.52,2024Q2
1730,花仙子,5.26,112,15.24,1.88,2024Q2
1731,美吾華,4.8,112,18.42,1.58,2024Q2
1733,五鼎,3.69,112,27.34,1.71,2024Q2
1734,杏輝,5.48,112,15.28,1.77,2024Q2
1735,日勝化,2.01,112,23.49,1.63,2024Q2
1736,喬山,0.67,112,38.43,4.67,2024Q2
1737,臺鹽,3.43,112,19.55,1.08,2024Q2
1752,南光,4.48,112,40.55,1.98,2024Q2
1760,寶齡富錦,1.66,112,76.69,4.19,2024Q2
1762,中化生,1.87,112,28.09,0.99,2024Q2
1773,勝一,1.78,112,27.07,5.1,2024Q2
1776,展宇,2.12,112,29.14,1.59,2024Q2
1783,和康生,2.36,112,25.67,2.83,2024Q2
1786,科妍,1.88,112,41.05,5.17,2024Q2
1789,神隆,1.18,112,49.9,1.94,2024Q2
1795,美時,1.72,112,17.83,3.87,2024Q2
1808,潤隆,27.99,112,3.2,1.68,2024Q2
1809,中釉,0.88,112,207.73,1.31,2024Q2
1810,和成,1.05,112,173.64,0.85,2024Q2
1817,凱撒衛,4.23,112,10.08,1.5,2024Q2
1904,正隆,2.01,112,26.72,0.95,2024Q2
1906,寶隆,0.94,112,113.57,0.59,2024Q2
1907,永豐餘,2.73,112,28.45,0.82,2024Q2
2002,中鋼,1.52,112,105.0,1.14,2024Q2
2006,東和鋼鐵,5.35,112,12.04,1.89,2024Q2
2008,高興昌,2.98,112,83.88,1.87,2024Q2
2010,春源,5.41,112,13.03,1.03,2024Q2
2012,春雨,3.43,112,19.67,1.73,2024Q2
2013,中鋼構,3.45,112,19.16,2.12,2024Q2
2015,豐興,4.14,112,19.32,2.31,2024Q2
2020,美亞,13.29,112,5.09,1.53,2024Q2
2022,聚亨,1.85,112,83.08,1.05,2024Q2
2027,大成鋼,3.38,112,20.52,1.17,2024Q2
2028,威致,3.0,112,25.92,1.86,2024Q2
2029,盛餘,4.81,112,11.71,0.85,2024Q2
2030,彰源,2.65,112,60.81,1.07,2024Q2
2031,新光鋼,4.95,112,6.55,1.47,2024Q2
2049,上銀,1.13,112,40.16,2.21,2024Q2
