資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140204,1240,茂生農經,11.71,2.7,5.18,1.16,113Q3
1140204,1259,安心,22.1,1.8,2.9,0.83,113Q3
1140204,1264,德麥,15.73,14.0,4.43,3.58,113Q3
1140204,1268,漢來美食,17.72,7.0,4.62,2.9,113Q3
1140204,1294,漢田生技,13.9,4.0,4.49,3.13,113Q3
1140204,1336,台翰,12.39,0.41,1.78,0.94,113Q3
1140204,1565,精華,15.17,7.0,3.7,1.51,113Q3
1140204,1570,力肯,15.37,1.0,3.68,1.42,113Q3
1140204,1580,新麥,12.23,9.0,5.84,2.57,113Q3
1140204,1584,精剛,8.11,1.5,5.67,1.36,113Q3
1140204,1586,和勤,43.67,0.1303314,0.47,1.47,113Q3
1140204,1593,祺驊,27.56,1.6,4.57,1.07,113Q3
1140204,1599,宏佳騰,141.19,0.0,0.0,1.1,113Q3
1140204,1742,台蠟,55.97,0.0,0.0,1.13,113Q3
1140204,1777,生泰,12.71,3.5,3.75,1.69,113Q3
1140204,1784,訊聯,79.14,1.41847555,1.71,3.37,113Q3
1140204,1785,光洋科,26.65,1.20013385,2.04,2.57,113Q3
1140204,1788,杏昌,17.07,7.0,4.93,2.14,113Q3
1140204,2063,世鎧,16.05,4.5,13.04,1.55,113Q3
1140204,2065,世豐,13.62,4.34545793,8.62,1.55,113Q3
1140204,2066,世德,12.37,3.77751226,4.05,1.87,113Q3
1140204,2070,精湛,17.31,1.5,2.43,2.43,113Q3
1140204,2073,雄順,37.68,0.6,2.31,1.63,113Q3
1140204,2221,大甲,16.71,1.3,4.58,1.21,113Q3
1140204,2230,泰茂,20.25,0.93861079,0.77,5.51,113Q3
1140204,2235,謚源,22.15,2.5,5.15,1.35,113Q3
1140204,2596,綠意,153.65,1.0,2.5,2.08,113Q3
1140204,2640,大車隊,16.17,6.0,4.46,4.14,113Q3
1140204,2641,正德,9.01,0.48155935,2.73,0.78,113Q3
1140204,2643,捷迅,10.77,5.0,6.78,1.38,113Q3
1140204,2718,全心投控,2.07,3.0,4.15,1.23,113Q3
1140204,2719,燦星旅,13.75,0.0,0.0,4.12,113Q3
1140204,2724,藝舍-KY,14.18,0.0,0.0,4.99,113Q3
1140204,2726,雅茗-KY,11.53,0.0,0.0,1.9,113Q3
1140204,2729,瓦城,23.33,11.0,5.45,3.16,113Q3
1140204,2732,六角,18.51,6.49655101,6.88,2.22,113Q3
1140204,2734,易飛網,17.06,0.0,0.0,2.81,113Q3
1140204,2743,山富,10.88,3.0,3.08,3.45,113Q3
1140204,2745,五福,9.54,3.5,3.38,4.2,113Q3
1140204,2751,王座,17.29,0.0,0.0,3.11,113Q3
1140204,2752,豆府,16.83,13.3,5.61,5.09,113Q3
1140204,2754,亞洲藏壽司,40.42,1.5,1.73,2.43,113Q3
1140204,2755,揚秦,20.43,3.6,3.26,4.3,113Q3
1140204,2756,聯發國際,32.21,4.5,6.05,3.41,113Q3
1140204,2916,滿心,13.76,4.0,7.65,2.25,113Q3
1140204,2926,誠品生活,118.33,0.0,0.0,4.14,113Q3
1140204,2937,集雅社,12.67,2.0,5.01,1.68,113Q3
1140204,2941,米斯特,20.03,3.18161143,5.11,2.65,113Q3
1140204,2947,振宇五金,26.37,1.3,1.5,2.22,113Q3
1140204,2948,寶陞,23.79,3.31428571,6.64,1.48,113Q3
1140204,2949,欣新網,21.57,2.5,3.03,2.06,113Q3
1140204,3064,泰偉,234.0,0.0,0.0,8.49,113Q3
1140204,3066,李洲,18.11,0.0,0.0,1.48,113Q3
1140204,3071,協禧,36.25,1.03,4.44,1.71,113Q3
1140204,3073,天方能源,86.88,0.0,0.0,3.47,113Q3
1140204,3078,僑威,16.99,4.8,5.64,2.95,113Q3
1140204,3083,網龍,50.12,0.0,0.0,2.66,113Q3
1140204,3086,華義,151.83,1.50000004,0.91,12.7,113Q3
1140204,3088,艾訊,18.92,4.29279723,3.34,3.0,113Q3
1140204,3093,港建*,26.7,1.8,1.73,3.83,113Q3
1140204,3095,及成,24.63,0.0,0.0,4.32,113Q3
1140204,3105,穩懋,27.94,0.0,0.0,1.14,113Q3
1140204,3114,好德,29.64,1.2,4.82,1.06,113Q3
1140204,3118,進階,16.04,1.7,5.25,1.95,113Q3
1140204,3128,昇銳,30.05,0.8,2.77,1.89,113Q3
1140204,3131,弘塑,45.37,16.0,1.32,8.14,113Q3
1140204,3147,大綜,24.89,5.0,2.89,5.23,113Q3
1140204,3152,璟德,27.09,3.68,2.32,2.99,113Q3
