日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,1102,亞泥,31.7,7.26,114,10.64,0.63,2026Q1
20260813,1103,嘉泥,13.15,3.95,114,16.44,0.48,2026Q1
20260813,1104,環泥,26.55,6.97,114,10.37,0.73,2026Q1
20260813,1108,幸福,11.75,8.51,114,17.28,0.87,2026Q2
20260813,1109,信大,13.55,6.64,114,19.64,0.56,2026Q2
20260813,1110,東泥,16.6,1.81,114,51.88,1.0,2026Q1
20260813,1201,味全,12.2,1.72,114,20.0,0.78,2026Q2
20260813,1203,味王,46.0,2.17,114,21.9,1.68,2026Q2
20260813,1210,大成,52.4,5.73,114,12.87,1.72,2026Q2
20260813,1215,卜蜂,107.5,6.51,114,12.38,2.9,2026Q2
20260813,1216,統一,76.3,3.93,114,18.43,3.18,2026Q2
20260813,1217,愛之味,9.89,2.53,114,14.98,0.64,2026Q2
20260813,1219,福壽,11.05,4.52,114,23.51,0.81,2026Q1
20260813,1220,台榮,11.05,1.81,114,157.86,0.85,2026Q2
20260813,1225,福懋油,24.8,4.03,114,118.1,1.6,2026Q2
20260813,1227,佳格,28.9,4.64,114,17.95,1.43,2026Q2
20260813,1229,聯華,41.3,4.84,114,15.88,1.33,2026Q1
20260813,1231,聯華食,80.7,3.1,114,16.34,3.21,2026Q2
20260813,1232,大統益,154.5,4.66,114,17.11,4.48,2026Q2
20260813,1233,天仁,27.6,0.72,114,30.0,1.78,2026Q2
20260813,1234,黑松,33.95,4.86,114,20.7,0.74,2026Q2
20260813,1256,鮮活果汁-KY,180.5,3.66,114,13.63,1.55,2026Q1
20260813,1301,台塑,57.5,0.87,114,35.06,0.64,2026Q2
20260813,1303,南亞,189.0,0.42,114,30.48,3.14,2026Q2
20260813,1307,三芳,30.55,7.2,114,9.12,1.22,2026Q2
20260813,1315,達新,64.2,7.01,114,26.31,0.45,2026Q2
20260813,1319,東陽,79.2,6.31,114,12.86,1.73,2026Q2
20260813,1323,永裕,21.7,4.15,114,17.09,0.75,2026Q2
20260813,1326,台化,59.5,1.01,114,25.21,0.67,2026Q2
20260813,1339,昭輝,46.1,5.42,114,10.9,0.84,2026Q1
20260813,1341,富林-KY,60.7,6.59,114,14.88,2.7,2026Q1
20260813,1342,八貫,104.0,5.77,114,14.71,3.6,2026Q2
20260813,1402,遠東新,26.95,4.64,114,16.74,0.61,2026Q1
20260813,1409,新纖,25.15,3.58,114,18.63,0.97,2026Q1
20260813,1410,南染,26.0,0.77,114,35.62,1.53,2026Q2
20260813,1414,東和,19.35,1.03,114,34.55,1.28,2026Q2
20260813,1416,廣豐,11.75,4.85,114,9.96,0.49,2026Q2
20260813,1417,嘉裕,8.29,3.02,114,16.25,0.67,2026Q2
20260813,1419,新紡,64.9,2.77,114,4.93,0.95,2026Q1
20260813,1423,利華,35.5,10.14,114,10.41,1.04,2026Q2
20260813,1432,大魯閣,15.1,13.25,114,2.95,1.23,2026Q2
20260813,1434,福懋,17.6,2.84,114,19.13,0.61,2026Q2
20260813,1436,華友聯,37.2,13.58,114,13.19,1.3,2026Q2
20260813,1437,勤益控,31.5,3.05,114,7.27,0.74,2026Q2
20260813,1438,三地開發,22.4,0.89,114,8.12,0.78,2026Q1
20260813,1439,雋揚,28.75,1.74,114,9.36,0.88,2026Q2
20260813,1440,南紡,13.65,2.2,114,455.0,0.79,2026Q2
20260813,1442,名軒,29.85,8.04,114,15.23,1.35,2026Q1
20260813,1446,宏和,14.0,10.71,114,14.89,0.72,2026Q2
20260813,1451,年興,17.4,5.75,114,11.52,0.47,2026Q2
20260813,1453,大將,11.4,2.63,114,16.29,0.86,2026Q2
20260813,1455,集盛,9.89,1.62,114,18.66,0.85,2026Q2
20260813,1457,宜進,14.55,6.87,114,15.99,0.66,2026Q1
20260813,1459,聯發,14.05,1.42,114,5.45,1.08,2026Q2
20260813,1464,得力,10.2,2.45,114,27.57,0.79,2026Q1
20260813,1465,偉全,12.15,2.47,114,20.95,0.81,2026Q2
20260813,1470,大統新創,24.0,2.71,114,18.46,2.04,2026Q2
20260813,1472,三洋實業,89.0,6.74,114,13.91,2.15,2026Q2
20260813,1473,台南,19.95,2.51,114,57.0,0.76,2026Q2
20260813,1474,弘裕,10.1,2.48,114,37.41,0.6,2026Q2
20260813,1475,業旺,25.95,5.78,114,10.18,1.13,2026Q1
20260813,1476,儒鴻,326.5,4.59,114,13.53,3.09,2026Q2
20260813,1477,聚陽,219.5,6.83,114,14.98,3.93,2026Q2
20260813,1503,士電,201.5,2.48,114,30.03,2.77,2026Q1
20260813,1504,東元,70.4,2.84,114,25.51,1.72,2026Q2
20260813,1513,中興電,171.0,3.51,114,19.24,4.06,2026Q2
20260813,1514,亞力,102.5,2.15,114,28.08,4.41,2026Q2
20260813,1515,力山,30.5,1.97,114,20.47,1.42,2026Q2
20260813,1519,華城,720.0,1.67,114,47.12,24.71,2026Q2
20260813,1521,大億,25.55,2.94,114,16.07,1.04,2026Q2
20260813,1522,堤維西,27.95,4.29,114,29.11,1.0,2026Q2
20260813,1524,耿鼎,26.95,5.19,114,13.21,1.5,2026Q2
20260813,1525,江申,67.4,4.15,114,45.85,0.99,2026Q2
20260813,1527,鑽全,32.75,4.58,114,15.52,0.94,2026Q2
20260813,1529,樂事綠能,17.0,5.88,114,26.15,1.45,2026Q2
20260813,1530,亞崴,29.05,3.44,114,15.45,0.85,2026Q2
20260813,1531,高林股,13.05,7.66,114,48.33,0.68,2026Q2
20260813,1532,勤美,21.9,3.65,114,18.72,0.61,2026Q1
20260813,1535,中宇,46.15,6.5,114,12.21,1.53,2026Q2
20260813,1537,廣隆,128.0,5.63,114,15.48,2.48,2026Q2
20260813,1540,喬福,19.2,5.21,114,15.74,1.16,2026Q2
20260813,1558,伸興,96.9,5.16,114,12.07,1.2,2026Q2
20260813,1560,中砂,707.0,0.7,114,60.12,11.67,2026Q2
20260813,1563,巧新,63.0,3.17,114,59.43,1.65,2026Q2
20260813,1568,倉佑,30.1,3.32,114,15.93,1.63,2026Q2
20260813,1582,信錦,75.1,3.99,114,23.4,1.47,2026Q2
20260813,1583,程泰,49.05,2.04,114,17.58,0.94,2026Q1
20260813,1590,亞德客-KY,1470.0,1.98,114,32.18,5.78,2026Q1
20260813,1597,直得,150.0,0.47,114,73.53,5.3,2026Q2
20260813,1603,華電,30.15,6.63,114,10.81,0.6,2026Q2
20260813,1604,聲寶,23.15,6.48,114,13.23,0.94,2026Q2
20260813,1605,華新,39.3,1.27,114,12.02,0.86,2026Q2
20260813,1608,華榮,36.8,5.43,114,3.19,1.38,2026Q2
20260813,1609,大亞,37.75,1.85,114,15.79,1.69,2026Q1
