資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
1130614,1240,茂生農經,11.39,2.7,5.0,1.52
1130614,1259,安心,14.11,1.8,2.48,0.93
1130614,1264,德麥,16.76,14.0,4.43,4.12
1130614,1268,漢來美食,18.22,7.0,4.12,3.04
1130614,1336,台翰,13.0,0.41,1.97,0.89
1130614,1565,精華,16.59,7.0,3.71,1.59
1130614,1569,濱川,132.5,1.0,4.19,0.89
1130614,1570,力肯,150.21,1.0,2.77,1.99
1130614,1580,新麥,12.83,9.0,5.64,3.11
1130614,1584,精剛,13.11,1.5,4.29,1.79
1130614,1586,和勤,91.62,0.13,0.42,1.69
1130614,1593,祺驊,40.91,1.6,3.76,1.34
1130614,1595,川寶,33.75,1.0,2.65,0.69
1130614,1599,宏佳騰,263.33,0.0,0.0,1.24
1130614,1742,台蠟,13.36,0.0,0.0,1.15
1130614,1777,生泰,14.67,3.5,3.9,1.78
1130614,1784,訊聯,56.22,1.41847555,1.62,3.56
1130614,1785,光洋科,23.0,1.2,2.3,2.32
1130614,1788,杏昌,17.18,7.0,5.05,2.0
1130614,1796,金穎生技,28.99,2.0,3.33,3.1
1130614,1813,寶利徠,36.61,0.5,2.44,1.2
1130614,2063,世鎧,10.69,4.5,8.59,2.48
1130614,2065,世豐,14.17,4.34545793,6.8,2.03
1130614,2066,世德,16.25,4.0,2.82,3.18
1130614,2070,精湛,13.71,1.5,3.87,1.6
1130614,2073,雄順,78.21,0.6,1.97,1.86
1130614,2221,大甲,19.9,1.3,4.19,1.33
1130614,2230,泰茂,42.42,1.0,0.58,8.79
1130614,2235,謚源,16.58,2.5,4.91,1.37
1130614,2596,綠意,47.89,1.0,2.52,1.95
1130614,2640,大車隊,16.62,6.0,5.06,4.24
1130614,2641,正德,13.27,0.48155935,2.16,1.01
1130614,2643,捷迅,13.68,5.0,5.79,1.55
1130614,2718,晶悅,16.58,3.0,3.01,3.51
1130614,2719,燦星旅,32.12,0.0,0.0,6.57
1130614,2726,雅茗-KY,132.17,0.0,0.0,2.42
1130614,2729,瓦城,22.02,11.0,4.72,3.13
1130614,2732,六角,18.42,6.49655101,5.88,2.78
1130614,2734,易飛網,70.82,0.0,0.0,5.05
1130614,2743,山富,11.77,3.0,1.95,5.1
1130614,2745,五福,12.67,3.5,2.75,5.61
1130614,2752,豆府,18.82,13.3,4.81,7.73
1130614,2754,亞洲藏壽司,21.7,1.5,1.47,2.74
1130614,2755,揚秦,21.22,3.6,3.7,3.72
1130614,2756,聯發國際,19.35,4.5,5.2,4.08
1130614,2916,滿心,12.09,4.0,6.92,3.17
1130614,2937,集雅社,13.28,2.0,5.81,1.53
1130614,2941,米斯特,25.16,3.5,3.94,4.07
1130614,2947,振宇五金,32.78,1.3,1.49,2.27
1130614,2948,寶陞,18.21,3.31428571,5.1,1.7
1130614,2949,欣新網,18.08,2.5,2.61,2.23
1130614,3064,泰偉,124.29,0.0,0.0,9.83
1130614,3067,全域,34.46,0.0,0.0,2.63
1130614,3071,協禧,35.18,1.03,2.64,2.8
1130614,3078,僑威,10.49,4.8,6.44,2.83
1130614,3083,網龍,87.76,0.0,0.0,3.24
1130614,3086,華義,68.2,1.50000004,0.96,10.78
1130614,3088,艾訊,13.64,4.3,4.28,2.58
1130614,3093,港建*,17.23,1.8,5.9,4.77
1130614,3095,及成,34.09,0.0,0.0,6.66
1130614,3105,穩懋,89.24,0.0,0.0,1.84
1130614,3114,好德,14.67,1.2,4.2,1.16
1130614,3118,進階,17.62,1.7,4.78,2.03
1130614,3128,昇銳,38.7,0.8,2.68,1.94
1130614,3131,弘塑,55.7,16.0,1.25,9.78
1130614,3141,晶宏,70.21,0.50705826,0.52,3.06
1130614,3147,大綜,14.89,5.0,3.89,4.32
1130614,3152,璟德,39.27,3.68,1.8,3.81
1130614,3162,精確,80.12,0.0,0.0,1.71
1130614,3163,波若威,17.43,3.6,3.26,3.57
1130614,3169,亞信,36.52,3.5,2.58,4.68
1130614,3171,新洲,16.71,2.0,6.61,2.08
1130614,3178,公準,29.13,2.25,2.03,3.87
1130614,3188,鑫龍騰,12.13,1.6,4.71,2.5
1130614,3206,志豐,9.84,2.5,5.01,1.91
1130614,3207,耀勝,165.76,0.9,0.59,6.47
1130614,3211,順達,15.92,5.52904,5.98,1.74
1130614,3213,茂訊,11.36,5.4,4.89,2.31
1130614,3217,優群,18.13,6.4,3.82,3.39
1130614,3218,大學光,19.56,7.0,2.8,7.41
1130614,3219,倚強科,133.02,0.3659499,0.64,3.21
1130614,3221,台嘉碩,101.21,0.7,2.39,1.39
1130614,3226,至寶電,7.73,0.5,0.88,2.21
1130614,3227,原相,22.67,4.58887776,2.74,2.53
1130614,3232,昱捷,61.0,0.5,1.82,1.81
1130614,3252,海灣,195.0,0.0,0.0,0.54
1130614,3260,威剛,13.74,3.0,2.64,2.11
1130614,3264,欣銓,13.68,3.3,4.42,1.94
1130614,3265,台星科,18.73,4.8,3.82,3.0
1130614,3268,海德威,57.75,0.0,0.0,1.86
1130614,3276,宇環,29.24,0.2,1.16,1.5
1130614,3284,太普高,32.98,0.6,1.53,3.2
1130614,3285,微端,26.64,1.0,3.32,2.08
1130614,3287,廣寰科,28.97,0.843929,1.77,3.52
1130614,3289,宜特,24.25,3.73024747,2.7,3.03
1130614,3290,東浦,22.16,1.0,3.37,1.81
1130614,3293,鈊象,23.58,45.0,3.83,18.04
1130614,3297,杭特,706.67,0.0,0.0,1.35
1130614,3303,岱稜,15.09,1.75,4.08,2.13
1130614,3306,鼎天,28.47,1.3,2.25,0.86
1130614,3310,佳穎,25.92,4.2,4.24,3.26
1130614,3313,斐成,13.89,0.0,0.0,2.11
1130614,3317,尼克森,18.9,1.80013374,3.19,1.39
1130614,3322,建舜電,49.27,0.25,1.06,1.79
1130614,3324,雙鴻,52.95,6.5,0.81,9.53
1130614,3325,旭品,282.73,0.0,0.0,2.73
1130614,3332,幸康,15.87,1.6,3.75,1.18
1130614,3339,泰谷,114.1,0.0,0.0,3.28
1130614,3357,臺慶科,25.41,4.5,3.23,2.13
1130614,3362,先進光,67.11,1.0,0.39,10.44
