公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-21.37,10933035,14.58,7502141,8596261,14.58,7502141,8596261
1102,亞泥,-,-10.63,8320877,42.72,5210319,7436331,42.72,5210319,7436331
1103,嘉泥,-,-2.73,200989,18.45,165029,195482,18.45,165029,195482
1104,環泥,-,-7.86,555150,42.08,359966,511466,42.08,359966,511466
1108,幸福,-,7.53,388124,40.81,296395,417355,40.81,296395,417355
1109,信大,去年營收因逢農曆春節假期致工作天數短少及大陸新冠肺炎疫情影響而下降,-13.3,852626,55.06,476715,739226,55.06,476715,739226
1110,東泥,-,-14.17,160628,9.19,126262,137866,9.19,126262,137866
1201,味全,-,-0.78,1472723,1.31,1442127,1461118,1.31,1442127,1461118
1203,味王,-,5.0,519264,5.52,516699,545268,5.52,516699,545268
1210,大成,-,3.24,8214226,37.32,6175533,8480630,37.32,6175533,8480630
1213,大飲,-,4.19,31241,2.18,31854,32550,2.18,31854,32550
1215,卜蜂,-,-0.99,2057868,20.82,1686306,2037460,20.82,1686306,2037460
1216,統一,-,32.3,34159430,8.82,41529085,45194815,8.82,41529085,45194815
1217,愛之味,-,46.69,280185,1.38,405408,411016,1.38,405408,411016
1218,泰山,-,21.77,694505,14.76,736974,845756,14.76,736974,845756
1219,福壽,-,11.86,1185413,30.39,1016959,1326083,30.39,1016959,1326083
1220,台榮,-,1.45,258665,30.22,201511,262424,30.22,201511,262424
1225,福懋油,-,6.96,1006866,26.69,850077,1076979,26.69,850077,1076979
1227,佳格,本月營收增加主係來自於大陸子公司之營收貢獻,18.42,3872526,56.43,2931475,4585987,56.43,2931475,4585987
1229,聯華,-,-19.57,946645,26.38,602410,761338,26.38,602410,761338
1231,聯華食,-,3.06,921214,7.51,883070,949444,7.51,883070,949444
1232,大統益,-,-10.03,1845049,12.16,1479927,1659919,12.16,1479927,1659919
1233,天仁,-,-0.44,171334,-23.81,223889,170575,-23.81,223889,170575
1234,黑松,-,-1.25,845690,0.44,831335,835074,0.44,831335,835074
1235,興泰,-,-78.69,8603,35.77,1350,1833,35.77,1350,1833
1236,宏亞,本年度業績大幅成長主因：節慶挪移影響，使得今年度大量出貨落點在1月份，去年度則落在108年12月份。,42.54,231166,58.05,208484,329513,58.05,208484,329513
1702,南僑,-,-6.33,1865641,17.1,1492225,1747421,17.1,1492225,1747421
1737,臺鹽,-,-26.23,380378,21.75,230456,280603,21.75,230456,280603
1301,台塑,-,-2.5,19710124,38.66,13858050,19215607,38.66,13858050,19215607
1303,南亞,-,3.59,28327943,31.51,22313695,29346765,31.51,22313695,29346765
1304,台聚,-,-8.64,5820253,49.44,3557870,5316928,49.44,3557870,5316928
1305,華夏,109年1月逢春節假期營收較低 ; 今年因部分PVC大廠受疫情、歲修或事故而減產，後疫情需求恢復，庫存偏低致價格大漲。,-4.59,1680981,53.9,1042016,1603671,53.9,1042016,1603671
1307,三芳,-,36.89,693860,26.83,748887,949887,26.83,748887,949887
1308,亞聚,銷售數量因年節差異，並同產品平均售價皆較去年同期提高所致。,-4.27,682421,70.23,383724,653244,70.23,383724,653244
1309,台達化,-,-18.58,1789006,40.87,1033894,1456463,40.87,1033894,1456463
1310,台苯,-,-16.17,870907,-4.99,768429,730042,-4.99,768429,730042
1312,國喬,-,-5.9,1848773,18.18,1471941,1739674,18.18,1471941,1739674
1313,聯成,營收較去年同期增加77.35%，主要係去年1月逢農曆春節連假。,-1.58,6091072,77.35,3379946,5994488,77.35,3379946,5994488
1314,中石化,-,35.15,1880643,23.18,2063432,2541752,23.18,2063432,2541752
1315,達新,-,-13.08,213256,12.05,165414,185347,12.05,165414,185347
1321,大洋,-,-3.17,479536,30.08,356932,464301,30.08,356932,464301
1323,永裕,-,-7.3,301482,17.44,237926,279444,17.44,237926,279444
1324,地球,-,-20.15,102720,7.14,76543,82015,7.14,76543,82015
1325,恆大,受新冠肺炎影響致營收增加,-25.94,295463,270.92,58992,218816,270.92,58992,218816
1326,台化,-,1.9,26248571,18.1,22647976,26749217,18.1,22647976,26749217
4306,炎洲,-,-8.83,1413578,28.93,999485,1288713,28.93,999485,1288713
1402,遠東新,-,-6.72,20535299,9.66,17466170,19154653,9.66,17466170,19154653
1409,新纖,-,-24.52,4167286,22.83,2560642,3145297,22.83,2560642,3145297
1410,南染,-,-14.41,42139,48.69,24254,36064,48.69,24254,36064
1413,宏洲,-,23.98,163371,25.76,161063,202561,25.76,161063,202561
1414,東和,-,-20.86,87371,24.08,55721,69139,24.08,55721,69139
1417,嘉裕,-,40.87,90121,-2.08,129664,126957,-2.08,129664,126957
1418,東華,-,-45.58,11891,-32.79,9629,6471,-32.79,9629,6471
1419,新紡,-,-17.34,232948,18.02,163148,192552,18.02,163148,192552
1423,利華,-,44.06,12124,44.72,12069,17467,44.72,12069,17467
1434,福懋,-,2.53,2527585,-1.92,2642716,2591722,-1.92,2642716,2591722
1439,雋揚,-,-59.29,15085,-43.01,10775,6140,-43.01,10775,6140
1440,南紡,-,-3.4,1781769,27.09,1354218,1721188,27.09,1354218,1721188
1441,大東,-,38.65,109749,6.78,142499,152172,6.78,142499,152172
1444,力麗,-,-7.53,811117,0.67,744969,749992,0.67,744969,749992
1445,大宇,-,-19.62,97272,-20.55,98410,78183,-20.55,98410,78183
1446,宏和,-,-1.33,30113,-14.16,34612,29710,-14.16,34612,29710
1447,力鵬,因新增子公司貿易營收,18.53,1437353,93.62,879978,1703830,93.62,879978,1703830
1449,佳和,-,-14.4,163037,25.01,111626,139548,25.01,111626,139548
1451,年興,-,-21.98,695510,-15.82,644616,542580,-15.82,644616,542580
1452,宏益,-,-6.95,183208,48.9,114486,170473,48.9,114486,170473
1454,台富,-,-7.58,130643,1.78,118611,120729,1.78,118611,120729
1455,集盛,-,-0.88,836143,21.93,679676,828749,21.93,679676,828749
1457,宜進,-,1.28,313004,6.99,296309,317026,6.99,296309,317026
1459,聯發,109年適逢過年，實際銷售天數23天，致本期營業收入淨額較去年同期增加。,-0.75,237455,64.09,143616,235665,64.09,143616,235665
1460,宏遠,-,5.08,753725,24.89,634183,792034,24.89,634183,792034
1463,強盛,-,13.5,32329,6.47,34463,36696,6.47,34463,36696
1464,得力,-,-13.71,1006364,-1.44,881034,868295,-1.44,881034,868295
1465,偉全,-,-38.07,43701,-23.69,35466,27063,-23.69,35466,27063
1466,聚隆,-,-21.13,315137,9.14,227705,248522,9.14,227705,248522
1467,南緯,-,-34.62,711037,5.17,441942,464808,5.17,441942,464808
1468,昶和,去年因春節假日故工作天數減少比較基期數據偏低所致。,22.5,100442,61.57,76156,123050,61.57,76156,123050
1470,大統新創,-,0.43,64923,21.5,53667,65206,21.5,53667,65206
1472,三洋實業,-,21.49,21894,-9.33,29339,26601,-9.33,29339,26601
1473,台南,-,23.05,497702,-24.06,806567,612453,-24.06,806567,612453
1474,弘裕,為去(109)年1月適逢農曆春節假期致工作天數減少，比較基期數據偏低所致,-1.49,277543,58.04,172985,273395,58.04,172985,273395
1475,業旺,主要開始銷售染劑產品,-77.15,45360,232.4,3117,10361,232.4,3117,10361
1476,儒鴻,-,-24.82,3702424,20.95,2300958,2783179,20.95,2300958,2783179
1477,聚陽,-,10.43,2156588,13.81,2092533,2381607,13.81,2092533,2381607
4414,如興,-,6.21,1152030,-7.85,1327928,1223675,-7.85,1327928,1223675
4426,利勤,-,-17.98,103931,-32.76,126774,85240,-32.76,126774,85240
4438,廣越,-,17.29,511643,-17.5,727482,600145,-17.5,727482,600145
4440,宜新實業,-,-0.83,132252,9.9,119335,131153,9.9,119335,131153
1503,士電,-,-8.25,3063805,12.9,2489575,2810779,12.9,2489575,2810779
1504,東元,-,-19.07,4868158,3.69,3799231,3939500,3.69,3799231,3939500
1506,正道,-,28.25,67736,3.25,84135,86872,3.25,84135,86872
1513,中興電,-,-52.93,3196653,48.61,1012380,1504562,48.61,1012380,1504562
1514,亞力,-,-29.47,567071,4.01,384478,399915,4.01,384478,399915
1515,力山,客戶銷售狀況好增加採購量,-5.44,1671850,214.12,503251,1580814,214.12,503251,1580814
1517,利奇,"主係自行車零組件受惠全球自行車零售巿場持續熱銷,造就本公司集團出貨量及金額大增。",-13.72,411896,77.87,199773,355350,77.87,199773,355350
1519,華城,-,-65.15,1346437,-36.23,735811,469183,-36.23,735811,469183
1526,日馳,因市場需求增加，致本月營收優於去年同期。,-13.68,131704,53.41,74103,113686,53.41,74103,113686
1527,鑽全,-,-14.75,403633,25.41,274371,344093,25.41,274371,344093
1528,恩德,-,-32.48,320896,-6.28,231176,216644,-6.28,231176,216644
1529,樂事綠能,本期因無太陽能工程案營收致營收驟減,-65.94,16429,-91.85,68676,5595,-91.85,68676,5595
1530,亞崴,-,-18.12,305397,39.83,178804,250039,39.83,178804,250039
1531,高林股,因去年年假在1月，上班天數少影響出貨所致。,37.57,176732,114.71,113241,243146,114.71,113241,243146
1532,勤美,-,-45.11,2122105,37.54,846719,1164624,37.54,846719,1164624
1535,中宇,-,-22.85,846577,15.36,566085,653089,15.36,566085,653089
1537,廣隆,-,-9.14,677979,18.57,519466,615961,18.57,519466,615961
1538,正峰,-,-32.47,25358,-27.02,23464,17124,-27.02,23464,17124
1539,巨庭,-,-11.54,236566,27.41,164226,209247,27.41,164226,209247
1540,喬福,-,-14.45,52907,12.59,40196,45257,12.59,40196,45257
1541,錩泰,-,-10.9,548903,17.73,415373,489059,17.73,415373,489059
1558,伸興,"本月增加百分比達50%以上,係因歐美縫紉機需求增加",75.25,559730,190.65,337493,980933,190.65,337493,980933
1560,中砂,-,0.79,469077,19.61,395279,472827,19.61,395279,472827
1583,程泰,-,-5.45,516599,46.15,334189,488443,46.15,334189,488443
1597,直得,市場需求增加,3.01,131541,66.04,81609,135504,66.04,81609,135504
2049,上銀,主係美中貿易戰及新冠肺炎影響趨緩，市場需求逐漸恢復正常所致。,-7.47,2124419,89.14,1039231,1965642,89.14,1039231,1965642
2371,大同,-,-3.13,2529089,-2.6,2515305,2449678,-2.6,2515305,2449678
3167,大量,市場設備需求逐漸復甦所致,2.61,323309,188.89,114835,331751,188.89,114835,331751
4526,東台,-,-31.49,855144,-3.1,604580,585796,-3.1,604580,585796
4532,瑞智,-,-4.32,1977380,22.4,1545582,1891854,22.4,1545582,1891854
4540,全球傳動,-,-47.6,269869,47.58,95811,141398,47.58,95811,141398
4555,氣立,1.去年適逢農曆年，工作天期較少，基值較低 2.因應客戶農曆年前的提升備貨量及市場需求，致營收較去年成長80.56%,12.02,136274,80.55,84552,152664,80.55,84552,152664
4562,穎漢,-,5.87,59710,15.95,54517,63215,15.95,54517,63215
4564,元翎,本月及本年營收較去年同期增加，主要係因高壓充氣鋼瓶出貨量增加及去年同期適逢農曆春節假期營業天數較少所致。,1.61,203153,75.46,117656,206442,75.46,117656,206442
4566,時碩工業,-,46.94,307810,39.12,325119,452308,39.12,325119,452308
4572,駐龍,-,15.96,18127,-47.59,40109,21021,-47.59,40109,21021
4576,大銀微系統,去年一月適逢農曆春節假期，致營收較去年同期成長65.51%。,-8.78,233960,65.5,128944,213411,65.5,128944,213411
4583,台灣精銳,-,-19.54,294814,3.85,228384,237182,3.85,228384,237182
8222,寶一,因疫情影響,55.68,13103,-63.99,56655,20399,-63.99,56655,20399
8374,羅昇,主要係因109年1月適逢農曆春節營業天數較少，致營收增加百分比大於50%以上,19.14,280843,91.6,174636,334614,91.6,174636,334614
8996,高力,-,-34.15,258254,27.26,133622,170058,27.26,133622,170058
1603,華電,-,36.21,194902,34.69,197104,265490,34.69,197104,265490
1604,聲寶,-,36.95,618176,16.8,724844,846631,16.8,724844,846631
1605,華新,-,-13.91,11826620,26.26,8063234,10181000,26.26,8063234,10181000
1608,華榮,-,1.67,660258,23.65,542860,671293,23.65,542860,671293
1609,大亞,因本期銅價較去年同期漲幅逾12% ，且去年1月適逢春節假期，較去年同期工作天數較多所致。,3.9,2055603,77.41,1203912,2135936,77.41,1203912,2135936
1611,中電,-,5.59,173175,5.81,172810,182866,5.81,172810,182866
1612,宏泰,-,15.44,372804,49.52,287849,430393,49.52,287849,430393
1614,三洋電,-,21.8,392759,7.93,443227,478400,7.93,443227,478400
1615,大山,-,-26.85,357448,48.86,175644,261465,48.86,175644,261465
1616,億泰,-,-29.78,286586,16.71,172405,201227,16.71,172405,201227
1617,榮星,因本期銅價較去年同期上漲，且去年1月適逢春節假期，而本期工作天數較多所致。,11.11,335579,90.18,196052,372868,90.18,196052,372868
1618,合機,"110年1月業主通知交貨較多,致高壓線及光放管等出貨量較去年同期增加",74.02,147928,185.17,90271,257430,185.17,90271,257430
4930,燦星網,"109/3/27董事會決議處分燦星國旅全數持股，109年第一季起將該公司轉列停業單位，合併營收109年1月累積扣除61,204仟元。",14.62,876251,46.22,686914,1004435,46.22,686914,1004435
5283,禾聯碩,-,8.37,434051,36.19,345388,470400,36.19,345388,470400
1708,東鹼,-,-14.13,338602,-16.76,349300,290746,-16.76,349300,290746
1709,和益,-,22.87,661970,5.45,771316,813366,5.45,771316,813366
1710,東聯,無,18.24,1700879,44.54,1391398,2011182,44.54,1391398,2011182
1711,永光,-,4.35,789367,24.48,661699,823732,24.48,661699,823732
1712,興農,-,17.87,1346687,3.86,1528330,1587445,3.86,1528330,1587445
1713,國化,-,-14.52,55557,29.01,36808,47489,29.01,36808,47489
1714,和桐,-,-6.0,1915455,-0.82,1815402,1800434,-0.82,1815402,1800434
1717,長興,109年1月份有農曆春節假期，又月底大陸地區因COVID-19限制復工；110年1月營運天數相較109年同比增加。,0.53,4094184,75.88,2340333,4116280,75.88,2340333,4116280
1718,中纖,本月份自結異業別合併營收資訊，未經會計師簽證或核閱,-2.67,2391658,-13.11,2679023,2327601,-13.11,2679023,2327601
1721,三晃,-,32.82,201656,6.47,251563,267847,6.47,251563,267847
1722,台肥,-,52.48,693838,10.28,959280,1057966,10.28,959280,1057966
1723,中碳,-,-9.34,503615,-17.61,554160,456534,-17.61,554160,456534
1725,元禎,-,-6.62,841682,26.8,619818,785959,26.8,619818,785959
1726,永記,-,-0.81,792970,20.17,654464,786523,20.17,654464,786523
1727,中華化,-,8.03,144827,-3.21,161650,156461,-3.21,161650,156461
1730,花仙子,-,100.56,234003,48.99,314995,469327,48.99,314995,469327
1732,毛寶,-,3.24,62685,31.58,49183,64719,31.58,49183,64719
1735,日勝化,去年農曆新年在1月，今年在2月,-16.45,266860,62.84,136916,222960,62.84,136916,222960
1773,勝一,-,4.42,727875,27.17,597684,760089,27.17,597684,760089
1776,展宇,-,-13.97,150568,14.45,113169,129522,14.45,113169,129522
3708,上緯投控,客戶訂單增加，帶動我司營收成長,15.39,943406,193.74,370619,1088688,193.74,370619,1088688
4720,德淵,"營收金額較去年同期增加152,129仟元、比例增加83.87%，主要係因客戶春節前備貨及大陸市場持續回溫所致。",0.2,332814,83.87,181383,333512,83.87,181383,333512
4722,國精化,本月及本年增減百分比達50%以上:主要來自農曆春節假期月份差異及大陸營收增加所致.,1.23,413563,67.81,249488,418667,67.81,249488,418667
4739,康普,-,14.92,478022,4.78,524279,549362,4.78,524279,549362
4755,三福化,-,2.21,319088,13.6,287088,326140,13.6,287088,326140
4764,雙鍵,本期因市場回溫及客戶備貨需求提升，故營收較去年同期成長。,0.79,308985,57.26,198045,311456,57.26,198045,311456
4766,南寶,-,7.9,1515022,40.12,1166696,1634821,40.12,1166696,1634821
4770,上品,較去年同期增加，主係本期對銷貨客戶之設備出貨增加所致,-11.07,274669,135.01,103930,244251,135.01,103930,244251
1598,岱宇,各品牌產品與電商通路銷售持續暢旺,-33.01,2005978,209.29,434445,1343735,209.29,434445,1343735
1701,中化,-,17.26,736343,17.11,737281,863490,17.11,737281,863490
1707,葡萄王,-,-43.22,1046553,3.38,574728,594187,3.38,574728,594187
