公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,"以上營收不包含停業部門營收:111年11月 0 仟元暨110年11月 0 仟元；111年1-11月 0 仟元暨110年1-11月8,113,370仟元",-14.89,11368096,-0.8,9752687,9674576,4.32,96223350,100384633
1102,亞泥,-,9.27,7601097,-7.56,8985672,8306062,1.32,80928881,82003956
1103,嘉泥,-,5.88,209429,12.13,197773,221763,-1.03,2046138,2025015
1104,環泥,-,-0.49,634981,6.67,592281,631827,14.9,5509449,6330757
1108,幸福,-,-4.34,401202,43.17,268037,383773,8.15,3449777,3731154
1109,信大,-,27.0,527209,-14.34,781722,669587,-11.03,6600446,5872237
1110,東泥,-,0.4,197515,23.4,160698,198316,-1.74,1655721,1626839
1201,味全,-,-7.14,1719108,-2.46,1636605,1596213,1.8,18201885,18529734
1203,味王,-,0.57,534997,38.46,388602,538061,8.65,5309678,5769452
1210,大成,-,0.42,10031178,13.75,8855770,10074064,11.37,92373297,102881897
1213,大飲,-,-1.71,30818,-13.57,35048,30289,-9.6,397336,359159
1215,卜蜂,-,9.73,2364883,15.08,2255138,2595219,16.99,22403152,26211109
1216,統一,-,-5.28,42927337,3.31,39352262,40656907,10.05,436202984,480084395
1217,愛之味,-,-3.63,316358,-0.64,306835,304862,1.55,4396699,4465082
1218,泰山,-,9.7,845561,3.86,893101,927603,11.76,9177103,10257042
1219,福壽,-,0.13,1443910,2.99,1403710,1445798,15.95,13396529,15533376
1220,台榮,-,4.82,334007,5.23,332714,350129,11.59,2902585,3239081
1225,福懋油,-,-0.05,1291928,-2.38,1322704,1291214,16.66,11852183,13827751
1227,佳格,-,27.3,2182437,-24.6,3684840,2778357,-17.51,30744920,25360333
1229,聯華,-,3.54,908917,-16.95,1133311,941152,9.25,10157181,11096785
1231,聯華食,-,0.27,866871,16.21,748007,869263,12.35,8454777,9499090
1232,大統益,-,2.72,2198870,7.3,2105196,2258878,18.45,18695324,22145699
1233,天仁,-,18.37,149886,10.04,161242,177433,3.54,1597963,1654676
1234,黑松,-,12.51,817431,17.27,784292,919746,4.32,8341555,8702369
1235,興泰,與去年差異超過50%為本期銷貨收入較去年同期增加146.6萬,-16.87,3211,121.86,1203,2669,37.27,39863,54723
1236,宏亞,-,38.33,137410,28.62,147790,190090,19.91,1491592,1788617
1702,南僑,-,7.52,1720526,11.17,1663975,1849987,4.11,17800672,18532346
1737,臺鹽,-,-9.09,300649,8.15,252705,273311,-5.76,3547876,3343183
1301,台塑,-,1.89,17040281,-29.19,24523688,17363777,-5.39,248398864,234985330
1303,南亞,-,-5.35,26628431,-30.08,36046868,25203688,-12.16,377126405,331244699
1304,台聚,-,-7.31,5068232,-31.28,6835786,4697381,-7.46,65979162,61056670
1305,華夏,-,-3.79,1086250,-38.42,1697043,1045011,-13.87,18882826,16262185
1307,三芳,-,0.64,816520,2.52,801545,821824,30.04,7705866,10021244
1308,亞聚,-,-9.64,879815,-24.61,1054461,794927,3.88,8649194,8985645
1309,台達化,-,-8.96,1299689,-37.7,1899476,1183195,-12.96,19211800,16721320
1310,台苯,-,-5.12,765461,-32.11,1069782,726252,10.14,10795394,11890403
1312,國喬,-,-6.68,1387943,-34.14,1966650,1295194,-18.63,20793532,16917813
1313,聯成,-,15.25,5073138,-20.43,7348472,5846961,-9.31,74325945,67405124
1314,中石化,本公司2022年受通膨、戰爭以及下游市場需求疲弱等因素影響，導致2022年1-11月累計營收和11月單月營收皆較去年同期減少。,-18.95,1455340,-60.49,2985458,1179469,-26.26,32247012,23778647
1315,達新,-,4.68,210962,-6.94,237333,220847,14.15,2181515,2490213
1321,大洋,-,-0.55,428190,-9.42,470119,425807,1.32,5958784,6037494
1323,永裕,-,-8.27,319037,-10.67,327627,292641,0.68,3441807,3465412
1324,地球,-,22.88,72801,-6.76,95952,89461,-7.62,975737,901332
1325,恆大,因新冠肺炎防疫物資競爭激烈，致營收較去年同期減少。,27.81,33874,-9.6,47895,43296,-54.75,1137463,514695
1326,台化,-,-12.32,30444806,-15.61,31632092,26691678,4.94,334537100,351065252
4306,炎洲,-,-1.4,1067287,-29.89,1500995,1052260,-13.12,15764690,13695903
1402,遠東新,-,-5.34,22391824,-5.72,22482606,21194378,12.25,216881143,243467833
1409,新纖,-,-21.58,3487325,-30.51,3935610,2734599,6.07,40505775,42964878
1410,南染,-,-0.09,35487,-29.93,50600,35454,-19.06,449039,363442
1413,宏洲,-,-23.72,245129,-32.46,276845,186974,8.16,2711811,2933161
1414,東和,-,-2.93,46849,-33.96,68863,45472,-13.3,738474,640245
1417,嘉裕,-,-2.58,137357,-20.26,167809,133803,17.45,1170398,1374743
1418,東華,因本公司110.4.1董事會通過亞克力棉生產線停止生產。,-49.85,1761,504.79,146,883,-62.73,38388,14304
1419,新紡,-,-9.28,357743,14.77,282768,324541,25.64,2449386,3077599
1423,利華,-,80.97,9328,17.6,14354,16881,-4.09,169367,162435
1434,福懋,-,-4.35,2626721,-9.2,2767029,2512236,7.52,29837790,32084241
