公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1108,幸福,503627,410786,449375,22.6,12.07,4867123,5094743,-4.46,-
1201,味全,1850209,1831315,1736336,1.03,6.55,23473804,21476354,9.3,-
1213,大飲,16829,16519,11777,1.87,42.89,191040,120702,58.27,"112年12月因產能不足,113年產能恢復及積極推展業務,致使12月營收成長"
1219,福壽,1268028,1270951,1227767,-0.22,3.27,14345171,16328221,-12.14,-
1220,台榮,320533,397129,313541,-19.28,2.23,3488761,3295756,5.85,-
1232,大統益,1950296,1881431,2006424,3.66,-2.79,22066604,23560347,-6.34,-
1236,宏亞,265285,158057,218212,67.84,21.57,1977776,1929799,2.48,-
3054,立萬利,9999,3476,7659,187.65,30.55,99156,38888,154.97,主係因本期產品結構改變致銷售金額增加。
1304,台聚,4172565,4496431,4372440,-7.2,-4.57,51014697,52286270,-2.43,-
1305,華夏,746673,969641,1019053,-22.99,-26.72,11086333,13726205,-19.23,-
1307,三芳,808138,903107,753575,-10.51,7.24,10779822,10086736,6.87,-
1308,亞聚,554385,532717,627327,4.06,-11.62,6031298,6716338,-10.19,-
1309,台達化,1556333,1663667,1376542,-6.45,13.06,18622672,15207907,22.45,-
1312,國喬,1430644,1317977,1228786,8.54,16.42,16419410,15732892,4.36,-
1321,大洋,373483,411176,343982,-9.16,8.57,4683165,4912671,-4.67,-
1324,地球,70617,67346,66516,4.85,6.16,795197,921410,-13.69,-
4306,炎洲,1125722,1063213,1247556,5.87,-9.76,15916637,13242914,20.18,-
1410,南染,20332,21240,20330,-4.27,0.0,235070,223324,5.25,-
1413,宏洲,194570,183400,135213,6.09,43.89,2305985,1995376,15.56,-
1414,東和,41184,38259,47917,7.64,-14.05,523911,566659,-7.54,-
1417,嘉裕,52921,32235,189724,64.17,-72.1,600925,1542058,-61.03,因結束國軍服裝供售業務，致使營收減少
1419,新紡,567211,387105,296946,46.52,91.01,4214489,3382945,24.58,客戶訂單量增加
1423,利華,5123,5885,7704,-12.94,-33.5,104444,124185,-15.89,-
1434,福懋,2422393,2148096,2224206,12.76,8.91,28715705,28501509,0.75,-
1440,南紡,1220005,1227931,1309960,-0.64,-6.86,17190251,19445212,-11.59,-
1441,大東,127342,139933,74979,-8.99,69.83,1626033,1158805,40.31,1
1451,年興,429413,614181,544836,-30.08,-21.18,6420661,6358816,0.97,-
1452,宏益,158404,154016,126694,2.84,25.02,1700438,1199265,41.79,-
1454,台富,157745,119622,119685,31.86,31.8,1623569,1513543,7.26,-
1455,集盛,705994,700605,773864,0.76,-8.77,9427002,7740588,21.78,-
1457,宜進,301867,275274,228377,9.66,32.17,3389937,3123151,8.54,-
1459,聯發,133144,112648,146814,18.19,-9.31,1314593,1203763,9.2,-
1463,強盛新,377986,28762,26140,1214.18,1346.0,638150,349116,82.79,子公司保強建設房屋售出入帳
1464,得力,1160558,1060129,930710,9.47,24.69,11928088,9863105,20.93,-
1465,偉全,37877,47822,59670,-20.79,-36.52,494877,582365,-15.02,-
1468,昶和,75121,71128,100634,5.61,-25.35,1078244,1052893,2.4,-
1470,大統新創,74962,67126,52591,11.67,42.53,788039,655221,20.27,-
1474,弘裕,300454,275599,263082,9.01,14.2,3168177,2685726,17.96,-
1476,儒鴻,3422441,2847744,2681520,20.18,27.63,36828499,30790462,19.61,-
1477,聚陽,3528072,2580773,3235356,36.7,9.04,35523576,32458726,9.44,-
4440,宜新實業,97242,94093,81232,3.34,19.7,1123724,994301,13.01,-
1506,正道,91500,95059,91882,-3.74,-0.41,1036620,1140720,-9.12,-
1514,亞力,1104137,787914,1251523,40.13,-11.77,8828814,9456774,-6.64,-
1515,力山,280976,337270,856372,-16.69,-67.18,6099286,6708461,-9.08,客戶庫存管理減少採購量
1531,高林股,162297,106041,101308,53.05,60.2,1637783,1428221,14.67,受年關將屆，品牌服飾廠庫存去化告一段落、拉貨動能增強所致.
1535,中宇,1266132,1005795,1282039,25.88,-1.24,10858807,9759326,11.26,-
1538,正峰,15629,9439,9039,65.57,72.9,112684,195099,-42.24,因生產排程問題，導致本月較去年同期營業額上升
1539,巨庭,99833,64783,131612,54.1,-24.14,1338821,1533484,-12.69,-
1540,喬福,28425,36628,64036,-22.39,-55.61,507579,575698,-11.83,"因歐美年假,公司客製高,單價高,易因客戶安機排程遞延認列，公開資訊觀測站已公告財報113Q3.EPS:1.62元已超112Q4之1.3元"
1541,錩泰,225920,291235,361612,-22.42,-37.52,2988448,3378030,-11.53,-
1558,伸興,628440,761285,605923,-17.45,3.71,8337227,7559163,10.29,-
1560,中砂,630526,609542,513982,3.44,22.67,7019494,6380976,10.0,-
2049,上銀,2063111,2140166,1845555,-3.6,11.78,24392339,24632772,-0.97,-
3167,大量,347412,319893,154720,8.6,124.54,2599385,1292276,101.14,主係因客戶需求量增加所致
4532,瑞智,1863062,1830341,1671793,1.78,11.44,21539471,16842674,27.88,-
4540,全球傳動,288796,198473,170691,45.5,69.19,2294281,2571165,-10.76,"市場需求提升及公司積極拓展業務,致營收較去年同期成長69.19%"
4555,氣立,139737,128189,124876,9.0,11.9,1488048,1371359,8.5,-
4562,穎漢,84610,71975,73812,17.55,14.62,777164,742783,4.62,-
4564,元翎,141544,130963,96656,8.07,46.44,1144554,1304718,-12.27,-
4566,時碩工業,373711,416392,328503,-10.25,13.76,4797371,4208459,13.99,-
4576,大銀微系統,236040,200144,144627,17.93,63.2,2253713,2170200,3.84,本月營收較去年同期增加，主係客戶需求較去年同期增加。
4583,台灣精銳,235678,249314,207682,-5.46,13.48,2958991,2686956,10.12,-
6606,建德工業,63998,57380,36314,11.53,76.23,721107,755748,-4.58,因較去年同期業績成長
8222,寶一,53161,63682,63822,-16.52,-16.7,824132,683831,20.51,-
8374,羅昇,389908,414388,214356,-5.9,81.89,3680289,3051803,20.59,因本業回溫及併入怡進營收，故本月營收較去年變動達81.9%
8996,高力,343956,305752,275254,12.49,24.95,4003440,4325671,-7.44,-
1603,華電,375611,423180,290535,-11.24,29.28,4537973,4011988,13.11,-
1604,聲寶,844295,774402,617286,9.02,36.77,9493808,8888945,6.8,-
1605,華新,13658023,18158784,13786274,-24.78,-0.93,179196041,190109043,-5.74,-
1608,華榮,915587,896923,710308,2.08,28.89,11329005,9754917,16.13,-
1611,中電,103453,103003,130294,0.43,-20.6,1160862,1361495,-14.73,-
1612,宏泰,433326,743693,754770,-41.73,-42.58,6583904,6195025,6.27,-
1614,三洋電,473216,429319,405765,10.22,16.62,5676698,5726320,-0.86,-
1615,大山,601962,363820,576895,65.45,4.34,5869663,4944584,18.7,-
1616,億泰,359515,478053,365420,-24.79,-1.61,4605188,4112548,11.97,-
1618,合機,820458,312424,336373,162.61,143.91,4674925,4482667,4.28,113年12月因超高壓線交貨數量較去年同期增加
4930,燦星網,584222,577534,532098,1.15,9.79,7944067,6910889,14.95,-
1708,東鹼,556124,537588,562585,3.44,-1.14,6365633,5879183,8.27,-
1711,永光,724844,664524,647930,9.07,11.87,8168220,7861424,3.9,-
1713,國化,48592,47640,41519,1.99,17.03,527973,476391,10.82,-
1714,和桐,1858807,2048520,1856571,-9.26,0.12,20410398,20250450,0.78,-
1721,三晃,167697,163750,164871,2.41,1.71,2286720,2185671,4.62,-
1722,台肥,882512,908969,860502,-2.91,2.55,11873336,15009362,-20.89,-
1723,中碳,598567,557373,671492,7.39,-10.86,7647497,8317677,-8.05,-
1725,元禎,687235,768514,601945,-10.57,14.16,8389157,7497720,11.88,-
1735,日勝化,218486,231585,191807,-5.65,13.9,2646091,2367513,11.76,-
1773,勝一,955862,968666,879223,-1.32,8.71,11056944,9852910,12.22,-
4720,德淵,331365,311841,256595,6.26,29.13,3679001,3310758,11.12,-
4722,國精化,375523,294626,326748,27.45,14.92,4040634,3454084,16.98,-
4739,康普,329643,270302,391604,21.95,-15.82,4095506,5231731,-21.71,-
4755,三福化,414255,933046,509280,-55.6,-18.65,5323742,4990961,6.66,-
4766,南寶,1995292,2035685,1787527,-1.98,11.62,22982598,20581188,11.66,-
4770,上品,509994,560208,420555,-8.96,21.26,6457399,5692353,13.43,-
1707,葡萄王,1192289,1083586,1197757,10.03,-0.45,11160005,10635464,4.93,-
1720,生達,539892,595137,503152,-9.28,7.3,6788552,6242004,8.75,-
1731,美吾華,126969,128407,116469,-1.11,9.01,1485873,1300721,14.23,本月美吾髮及醫藥事業部營收雙雙成長，累計營收較去年同期成長逾14%。
1733,五鼎,170538,126710,109750,34.58,55.38,1852211,1676537,10.47,由於客戶本月購買測試片較去年同期增加，故使本月營收較去年同期增加 55.39%
1760,寶齡富錦,156646,235504,137538,-33.48,13.89,2029645,1881875,7.85,-
1783,和康生,69790,73872,47332,-5.52,47.44,680651,622115,9.4,-
1786,科妍,93101,81520,81165,14.2,14.7,883310,712988,23.88,-
3164,景岳,36469,30972,22396,17.74,62.83,385373,316289,21.84,客戶業務成長
4119,旭富,77950,155513,88732,-49.87,-12.15,1523738,1204159,26.53,-
4133,亞諾法,28329,31424,26773,-9.84,5.81,355257,382052,-7.01,-
4736,泰博,383588,388744,335294,-1.32,14.4,4640915,4806958,-3.45,-
4746,台耀,539401,431081,494374,25.12,9.1,4731046,4360448,8.49,-
4771,望隼,222666,228084,245721,-2.37,-9.38,3002007,2572202,16.7,-
6446,藥華藥,1172972,1015187,674560,15.54,73.88,9775727,5105615,91.47,本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp. 之營收。
6491,晶碩,619995,578246,568419,7.21,9.07,6817305,6789861,0.4,-
6534,正瀚-創,134551,68872,73532,95.36,82.98,1635736,1514829,7.98,本月營收較去年同期增加，主要係獲取新客戶訂單，加上原有客戶去化情況良好持續出貨所致。
6645,金萬林-創,60665,51146,51777,18.61,17.16,501525,415013,20.84,-
6657,華安,600,1114,615,-46.14,-2.43,7749,7158,8.25,-
6782,視陽,245905,274437,258026,-10.39,-4.69,3667795,2391477,53.36,主係去年同期受客戶庫存調整影響，使得基期較低。
6794,向榮生技-創,6052,2160,4881,180.18,23.99,31881,24589,29.65,-
6838,台新藥,0,2407,0,-100.0,,143356,31172,359.88,本月未認列收入
6861,睿生光電,204473,171954,172763,18.91,18.35,1989666,1837116,8.3,-
6885,全福生技,33,201,90,-83.58,-63.33,333,90,270.0,諮詢服務收入
6919,康霈*,0,9363,9729,-100.0,-100.0,44434,38932,14.13,本月健康食品銷售較去年同期減少。
6949,沛爾生醫-創,1833,1567,1226,16.97,49.51,19796,18033,9.77,-
6955,邦睿生技-創,24259,21388,21449,13.42,13.1,222878,159641,39.61,-
1809,中釉,237927,211895,207349,12.28,14.74,2415100,2357207,2.45,-
1817,凱撒衛,297708,231969,253912,28.33,17.24,2790325,2500832,11.57,-
1903,士紙,13529,14395,14723,-6.01,-8.1,155927,171104,-8.87,-
1904,正隆,4537398,3718549,3757149,22.02,20.76,45184932,42165465,7.16,-
1906,寶隆,174345,264870,242428,-34.17,-28.08,3211527,3391894,-5.31,-
1909,榮成,4237850,4176253,4194654,1.47,1.02,47864739,46557773,2.8,-
2006,東和鋼鐵,5570853,4841354,5888996,15.06,-5.4,60199223,61560351,-2.21,-
2007,燁興,511099,520610,393709,-1.82,29.81,6899956,5015149,37.58,-
2008,高興昌,142348,111821,116113,27.29,22.59,1458367,1460295,-0.13,-
2009,第一銅,243767,298040,225553,-18.2,8.07,3128075,2646149,18.21,-
2013,中鋼構,1993880,1730942,1831912,15.19,8.84,19695058,18839172,4.54,-
2015,豐興,3337151,2801357,3105264,19.12,7.46,34379324,34882023,-1.44,-
2023,燁輝,6132182,5858926,5922722,4.66,3.53,73967398,73474916,0.67,-
2025,千興,123661,150174,99884,-17.65,23.8,1058326,738691,43.27,-
2027,大成鋼,6422712,6789290,6177627,-5.39,3.96,90305234,101366695,-10.91,-
2028,威致,757178,761976,1024962,-0.62,-26.12,10196132,10484173,-2.74,-
2029,盛餘,1400554,1346188,1227703,4.03,14.07,13690701,12389155,10.5,-
2030,彰源,1085896,1007972,1006949,7.73,7.84,12398284,12856899,-3.56,-
2032,新鋼,267245,277427,258948,-3.67,3.2,2968738,2862276,3.71,-
2033,佳大,53688,59781,56554,-10.19,-5.06,577650,586548,-1.51,-
2034,允強,1329348,1439461,1039899,-7.64,27.83,14522266,15232177,-4.66,土耳其子公司因處高度通貨膨脹環境，應依IAS 29編製財報，故其本年度營收已按土耳其消費者物價指數波動率重述。
2038,海光,1085738,846884,858866,28.2,26.41,9724332,9365089,3.83,-
2069,運錩,1034168,802244,940433,28.9,9.96,10714847,11837852,-9.48,-
3004,豐達科,338968,305809,306150,10.84,10.71,3501720,3070624,14.03,-
9958,世紀鋼,1364447,1023722,2135974,33.28,-36.12,12474490,14515161,-14.05,-
2101,南港,680009,631485,645620,7.68,5.32,15223520,7851974,93.88,本公告係屬自結數，如與公告財報有所差異，請以財報為準，另113.9月新增子公司-南榮營建收入62億元。
2102,泰豐,17968,29148,19191,-38.35,-6.37,266056,479726,-44.54,-
2103,台橡,3063377,3076758,2401514,-0.43,27.56,37208664,31426889,18.39,-
2105,正新,7671239,7633139,7236851,0.49,6.0,96577705,96329991,0.25,無。
2107,厚生,153891,107431,127631,43.24,20.57,1482389,1361043,8.91,-
2108,南帝,1011577,969709,760484,4.31,33.01,11364286,8941620,27.09,-
2109,華豐,447614,441122,389484,1.47,14.92,4908604,4612595,6.41,-
2114,鑫永銓,137854,135432,138070,1.78,-0.15,1466396,1557708,-5.86,-
6582,申豐,142784,183149,90435,-22.03,57.88,1706196,894338,90.77,本月及本年累計營業收入受市場狀況影響，營收增加。
1319,東陽,2247973,2412005,2135521,-6.8,5.26,25595971,23858806,7.28,-
1521,大億,263140,283509,354443,-7.18,-25.75,3696220,4817004,-23.26,-
1524,耿鼎,354399,297689,251644,19.05,40.83,3015605,2697553,11.79,-
1533,車王電,595876,287226,204671,107.45,191.13,3345715,4003573,-16.43,"本月營收較去年同期增加391,205仟元,成長191.14%，主要係電動巴士相關營收增加約393,565仟元所致。"
1563,巧新,554036,704819,681258,-21.39,-18.67,7473579,7779316,-3.93,-
1587,吉茂,225431,175973,170552,28.1,32.17,2154168,2122072,1.51,-
2228,劍麟,388568,412725,416054,-5.85,-6.6,5062426,4877569,3.78,-
2231,為升,447894,520286,419914,-13.91,6.66,4668006,4394441,6.22,-
2233,宇隆,279006,314728,270267,-11.35,3.23,3658705,3337485,9.62,-
2241,艾姆勒,60905,55393,64110,9.95,-4.99,692911,881076,-21.35,-
2254,巨鎧精密-創,64546,46289,14843,39.44,334.85,632839,549661,15.13,本月營收較去年同期營收增加，係因客戶訂單增加所致。
2258,鴻華先進-創,314778,510066,170105,-38.28,85.04,8520611,1043992,716.15,乘用車陸續交車，營收表現優於去年同期。
2497,怡利電,451406,421298,376681,7.14,19.83,4623396,3766293,22.75,-
3346,麗清,915387,862823,1010011,6.09,-9.36,9338397,8473012,10.21,-
4551,智伸科,617020,687951,444177,-10.31,38.91,7691073,7121824,7.99,-
6288,聯嘉,397457,479447,348170,-17.1,14.15,5541763,4325353,28.12,-
6988,威力暘-創,57196,76158,51300,-24.89,11.49,884715,813207,8.79,-
2302,麗正,67042,71525,46584,-6.26,43.91,757460,715242,5.9,-
2303,聯電,18965818,20049182,16979226,-5.4,11.7,232302584,222533000,4.39,-
2329,華泰,1409754,1401496,1500768,0.58,-6.06,16277445,16690434,-2.47,-
2337,旺宏,1816214,1961343,1832760,-7.39,-0.9,25883475,27623608,-6.29,
2338,光罩,652232,628841,645448,3.71,1.05,7561749,7199935,5.02,-
