公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
3054,立萬利,86010,64646,3850,33.04,2134.02,221891,22122,903.03,主係因本期產品結構改變致銷售金額增加。
1434,福懋,2584621,2682740,2724072,-3.65,-5.11,9563942,10411845,-8.14,-
1452,宏益,147537,161166,131672,-8.45,12.04,475874,481767,-1.22,-
1454,台富,124279,111197,157093,11.76,-20.88,418459,561692,-25.5,-
1464,得力,1129614,1131849,1060772,-0.19,6.48,4115910,4523089,-9.0,-
1477,聚陽,2605953,3130764,2364173,-16.76,10.22,11502942,12288096,-6.38,-
4438,廣越,1506567,960944,1089199,56.77,38.31,4279123,3846147,11.25,-
4441,振大環球,801356,602614,583495,32.97,37.33,2691325,2092996,28.58,-
1504,東元,5626680,5126597,4955077,9.75,13.55,19825158,18656192,6.26,-
1535,中宇,604226,799835,817321,-24.45,-26.07,2807537,3287120,-14.58,-
1560,中砂,830354,789165,698859,5.21,18.81,3123630,2470488,26.43,-
3167,大量,862675,773478,402685,11.53,114.23,2808881,1246121,125.4,主係因客戶需求量增加所致
4576,大銀微系統,342051,321496,243836,6.39,40.27,1197095,831621,43.94,-
6606,建德工業,106773,89892,87931,18.77,21.42,298581,260585,14.58,-
8374,羅昇,590873,553636,363101,6.72,62.72,1965619,1434009,37.07,因AI機器人、半導體、節能、能源產品出貨較去年同期增加，故本月營收變動達62.73%
8996,高力,948788,1273121,510017,-25.47,86.03,4371759,1523884,186.88,115年4月營收較去年同期增加86.03%，主要係板式熱交換器及熱能產品之營業額，較去年同期分別增加11.40%及增加125.10%所致。
1611,中電,85776,91782,94567,-6.54,-9.29,338195,377881,-10.5,-
1623,大東電,477372,646394,522750,-26.14,-8.68,2339708,2179325,7.35,-
1721,三晃,153252,139148,142359,10.13,7.65,546472,647269,-15.57,-
4722,國精化,382698,315780,370650,21.19,3.25,1269932,1287464,-1.36,-
4755,三福化,390780,386829,448882,1.02,-12.94,1530858,1610192,-4.92,-
4746,台耀,330541,455951,444971,-27.5,-25.71,1394547,1588691,-12.22,-
4771,望隼,420175,348088,285329,20.7,47.25,1450902,1095864,32.39,-
6446,藥華藥,2064179,1940196,1226153,6.39,68.34,7185557,4483459,60.26,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp.之營收。
6491,晶碩,674346,669212,562412,0.76,19.9,2560013,2155911,18.74,-
6534,正瀚-創,229167,377331,219587,-39.26,4.36,1098670,1073242,2.36,-
6838,台新藥,0,44113,0,-100.0,,45422,594,7546.8,本月未認列收入
6949,沛爾生醫-創,2971,2454,1429,21.06,107.9,9353,13197,-29.12,本月較去年同期增加係因細胞治療案件數量增加。
1906,寶隆,245637,357786,309754,-31.34,-20.69,1069709,1118822,-4.38,-
1909,榮成,4351139,4144858,4066053,4.97,7.01,15110352,14298887,5.67,-
2025,千興,200797,162182,94705,23.8,112.02,579584,287431,101.64,本月及本年累計營收較去年同期增加，係受鎳價上漲等因素影響，帶動不�袗�價調漲，客戶需求增加，使接單量亦增加。
2069,運錩,858279,881050,1001782,-2.58,-14.32,3161142,3674859,-13.97,-
3004,豐達科,419391,452769,347527,-7.37,20.67,1623477,1283381,26.5,-
9958,世紀鋼,1766097,1581026,1336700,11.7,32.12,6334447,5253614,20.57,-
